artist,album,num_tracks,album_length,release_date,listeners,scrobbles,tags,tracks
Kazka,KARMA,10.0,35:36,27 April 2018,"32,724","464,881","['3', '2018', 'ukrainian', 'pop', 'indie pop', 'ukrainian', 'pop', 'ukraine']","['KARMA', 'SAINT', 'BY MYSELF', 'CRUSH', 'HIM', 'MIRACLES', 'DANCING', 'NOBODY', 'HUSH', 'CRY']"
Kazka,NIRVANA,10.0,,27 December 2019,"7,988","148,008","['2019', 'nirvana', 'kazka', 'ukrainian', 'pop', 'ukrainian', 'pop', 'ukraine']","['Випадок', 'Колишні', 'Zemna', 'Палала', 'Мало', 'Літаки', 'Твоєї крові', 'Чутки', 'Грай', 'Пісня Сміливих Дівчат']"
Kazka,SVIT,12.0,,5 November 2021,"2,838","35,175","['ukrainian', 'pop', 'indie pop', 'ukraine', 'electronic', 'ukrainian', 'pop', 'ukraine']","['Красива серцем (From ""Моя улюблена Страшко"")', 'Автовідповідач', 'Вирулю', 'Острів', 'Поруч', 'Не своя', ""М'ята"", 'Цілувати тебе (From ""Моя улюблена Страшко"")', 'Зірочка', 'Різдвяна', ""М'ята (Live at Atlas Weekend 2021, Bonus track)"", 'Поруч (Acoustic version, Bonus track)']"
Kazka,Untitled,10.0,,2019,21,83,"['nirvana', 'kazka', 'ukrainian', 'pop', 'indie pop', 'ukrainian', 'pop', 'ukraine']","['Випадок?', 'Колишні', 'Zemna', 'Палала', 'Мало', 'Літаки', 'Твоєї крові', 'Чутки', 'Грай', 'Пісня Сміливих Дівчат']"
Kazka,СВЯТА (The Best Of Kazka),16.0,56:49,23 December 2022,830,"5,230","['ukrainian', 'pop', 'ukraine', 'indie pop', 'electronic', 'ukrainian', 'pop', 'ukraine']","['Свята', 'ТАНЦІ', 'Сама', 'Вирулю', 'Палала', 'Автовідповідач', ""М'ята"", 'Колишні', 'Плакала', 'Поруч', 'Пісня Сміливих Дівчат', 'Свята (Piano Acoustic, Bonus track)', 'Сама (Piano Acoustic, Bonus track)', 'Пісня Сміливих Дівчат (Piano Acoustic, Bonus track)', 'Плакала (2022, Bonus track)', 'Свята (I Wannabe Remix)']"
Klavdia Petrivna,Їде дах,8.0,21:25,13 August 2024,"2,117","30,487","['art pop', 'ukraine', 'ukrainian', 'ukrainian pop', 'ukrainian', 'pop', 'electropop']","['Гра', 'Їде дах', 'Сонце, жара', ""Пам'ятай (техно)"", 'Барон', 'Верховна жриця', 'Не хочу', 'Зозуля']"
Klavdia Petrivna,Бережи мене,4.0,8:45,22 September 2023,"6,595","97,307","['electropop', 'female vocalists', 'ukraine', 'ukrainian', 'ukrainian pop', 'ukrainian', 'pop', 'electropop']","['Знайди мене', 'Хто ти', 'Я щаслива (Лікарі кажуть)', 'Бережи мене']"
Klavdia Petrivna,Зима,4.0,7:23,8 December 2023,"1,397","13,124","['electropop', 'ukraine', 'ukrainian', 'ukrainian pop', 'ukrainian', 'pop', 'electropop']","['Тишина', 'Дочка самурая', 'Зима (Я буду одна)', 'Грудень']"
Lama,Lama,15.0,31:22,1982,"3,694","104,241","['punk', 'hardcore punk', 'finnish punk', 'lyrical masterpiece', 'under 60 seconds punk', 'punk', 'ukrainian', 'hardcore punk']","['Tänään kotona', '105 B', 'Osmo älä onnu', 'Olen homo', 'Iso Pasi', 'Jeesus', 'Tavastia', 'Sä saatana', 'Anarkomarko', 'Turpa kiinni ja nussi', 'Järjetöntä', 'Spurgun huuto', 'Kellot', 'Koputus', 'Tulevaisuus']"
Lama,Tavastia,20.0,37:39,2007,160,"6,639","['punk', 'finnish', 'finnish punk', 'hardcore punk', 'under 60 seconds punk', 'punk', 'ukrainian', 'hardcore punk']","['105 B', 'Jeesukset', 'Nimetön', 'Olen homo', 'Sä saatana', 'Anarkomarko', 'Spurgun huuto', 'Turpa kiinni ja nussi', 'Osmo älä onnu', 'Penisten vapautusrintama', 'Paskaa', 'Koputus', 'Ajatuksen loppu', 'Väliaikainen', 'Bussi', 'Tulevaisuus', 'Totuus löytyy kaurapuurosta', 'Ainoo lajissaan', 'Raha', 'Tavastia']"
Lama,Volume I,9.0,,9 tracks,7,37,"['ukrainian', 'punk', 'hardcore punk', 'finnish punk', 'alternative', 'punk', 'ukrainian', 'hardcore punk']","['Intro', 'OFFsetsimle', 'intermezzo01', 'CHiP love', 'intermezzo02', 'PAMPLoNA_corps.', 'FROg march', 'Untitled I', 'Untitled II']"
