title,artist,title_listeners,title_scrobbles,title_tags,title_duration
Там де нас нема,Океан Ельзи,"13,859","76,748","['pop rock', 'russian', 'ukrainian', 'rock', 'ukrainian', 'ukrainian rock']",3:35
Друг ч.1,Океан Ельзи,"13,717","75,071","['rock', 'calm', 'ukrainian', 'can play', 'rock', 'ukrainian', 'ukrainian rock']",1:23
З тобою,Океан Ельзи,"13,671","67,100","['ukrainian', 'love', 'rock', 'okeanelzi', 'rock', 'ukrainian', 'ukrainian rock']",3:05
Ти і я,Океан Ельзи,"13,492","65,650","['ukrainian', 'rock', 'russian', 'art rock', 'rock', 'ukrainian', 'ukrainian rock']",3:28
Ніколи,Океан Ельзи,"13,402","65,284","['rock', 'russian', 'ukrainian', 'ukrainian rock', 'okean elzy', 'rock', 'ukrainian', 'ukrainian rock']",3:21
Не твоя війна,Океан Ельзи,"13,387","77,437","['ukrainian rock', 'pop-rock', 'rock', 'ukrainian', 'ukrainian rock']",Скільки іще забере вона
Онлайн,Океан Ельзи,"13,352","70,213","['rock', 'indie', 'britpop', 'rock', 'ukrainian', 'ukrainian rock']",3:53
SHUM,Go_A,"163,046","2,108,741","['eurovision', 'psytrance', 'ukrainian', 'eurovision 2021', 'ukrainian', 'folktronica', 'folk']",2:51
Solovey,Go_A,"39,876","390,694","['eurovision', 'eurovision song contest', 'eurovision 2020', 'esc', 'ukrainian', 'folktronica', 'folk']",2:56
Шум,Go_A,"39,101","351,027","['folk', 'electronic', 'folktronica', 'ebm', 'full-on psytrance', 'ukrainian', 'folktronica', 'folk']",3:02
Веснянка,Go_A,"21,000","134,549","['drum and bass', 'dnb', 'ukraine', 'ethnic', 'ukrainian', 'folktronica', 'folk']",3:56
Kalyna,Go_A,"19,484","199,505","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",3:06
Жальменiна,Go_A,"19,191","151,038","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Рано-раненько,Go_A,"16,929","117,472","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",3:49
Сонце,Go_A,"11,907","78,078","['folktronica', 'ukrainian', 'folk', 'electronic', '4-5', 'ukrainian', 'folktronica', 'folk']",5:38
Кольоровими фарбами,Go_A,"9,775","55,884","['folktronica', 'ukrainian', 'folk', 'electronic', '4-5', 'ukrainian', 'folktronica', 'folk']",4:44
Rusalochki,Go_A,"9,556","84,925","['woman', 'acapella', 'ukraine', '4dnb', 'ukrainian', 'folktronica', 'folk']",3:18
Вогнi,Go_A,"7,506","36,762","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Небо в долонях,Go_A,"6,948","36,762","['folktronica', 'ukrainian', 'folk', 'electronic', '4-5', 'ukrainian', 'folktronica', 'folk']",4:45
Намалюй,Go_A,"6,500","30,175","['folktronica', 'ukrainian', 'folk', 'electronic', '4-5', 'ukrainian', 'folktronica', 'folk']",3:38
SHUM - Dj NANA Remix,Go_A,"5,592","16,321","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Добрим людям на здоров’я,Go_A,"5,242","18,277","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",3:25
Dumala,Go_A,"4,950","45,182","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",3:10
Shum - Billx remix,Go_A,"4,946","23,669","['trance', 'psytrance', 'frenchcore', 'dark psytrance', 'psycore', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Iди на звук,Go_A,"4,888","22,357","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Solovey - Instrumental Version,Go_A,"4,388","16,469","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Krip,Go_A,"4,383","27,332","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",3:32
Повернись,Go_A,"4,370","19,055","['folktronica', 'ukrainian', 'folk', 'electronic', '4-5', 'ukrainian', 'folktronica', 'folk']",3:54
Намалюй - Акустична Версія,Go_A,"3,151","11,977","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Шум - Radio Edit,Go_A,"3,079","8,700","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
SHUM - Instrumental Version,Go_A,"3,043","8,283","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
SHUM - obsqr. Remix,Go_A,"2,035","6,002","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Соловей,Go_A,"1,792","11,678","['ukraine', 'eurovision song contest', 'eurovision', 'esc', 'preselection', 'ukrainian', 'folktronica', 'folk']",2:56
