artist,artist_listeners,artist_scrobbles,artist_tags
Quest Pistols Show,"32,312","386,555","['pop', 'electronic', 'ukrainian', 'ukraine', 'rap', 'dance', 'rock', 'n-a', 'indie pop', 'pop-rock', 'ukranian', 'alternative']"
Grebz,"24,787","385,105","['ukrainian', 'power pop', 'rap', 'hip hop', 'indie pop', 'indie rock', 'russian rap', 'poprock', 'ukraine', 'russian hip-hop']"
хейтспіч,"9,737","337,572","['ukrainian', 'dance-punk', 'punk rock', 'indie rock', 'lo-fi', 'rap rock', 'electronic rock']"
Poshlaja Molli,"14,235","360,433","['ukrainian', 'rock', 'pop', 'ukraine', 'powerpop', 'russian pop', 'zalupa', 'pawe ponravilos']"
Какая Разница,"20,485","308,268","['rock', 'alternative', 'post-punk', 'ukraine', 'ukrainian']"
Green Grey,"36,244","518,294","['ukrainian', 'funk', 'pop-rock', 'hip-hop', 'alternative', 'alternative rock', 'rock', 'reggae']"
Zhadan i Sobaky,"9,259","305,727","['rock', 'ukrainian', 'ska', 'alternative rock', 'ukraine', 'ukrainian rock']"
Брати Гадюкіни,"12,210","539,724","['ukrainian', 'rock', 'rock and roll', 'reggae', 'post-punk', 'blues', 'lviv']"
The Unsleeping,"18,052","298,600","['alternative rock', 'ukrainian', 'ukraine', 'post-rock', 'grunge', 'indie rock', 'indie', 'indie pop']"
Сюзанна,"14,210","323,931","['ukrainian', 'indie pop', 'indie', 'electronic', 'experimental', 'russian', 'pop']"
Artem Pivovarov,"12,193","299,741","['ukraine', 'ukrainian', 'folk', 'pop', 'ukrainian pop', 'folk pop', 'russian pop']"
СТРУКТУРА ЩАСТЯ,"11,756","286,545","['electronic', 'indie pop', 'ukrainian', 'pop punk', 'hyperpop', 'deezer', 'upcoming album 2023', 'indie rock', 'dance', 'synthpop']"
Кому Вниз,"11,959","500,665","['ukrainian', 'gothic rock', 'gothic', 'folk', 'rock', 'folk rock', 'industrial']"
Тіна Кароль,"30,701","456,081","['ukrainian', 'pop', 'female vocalists', 'ukraine', 'eurovision', 'smell of female', 'feminine cavern of love']"
Los Colorados,"31,063","359,762","['ukrainian', 'folk', 'parody', 'humor', 'agri-alco-rock', 'ukrainian-folk', 'ukraine']"
Карна,"11,920","425,439","['ukrainian', 'alternative', 'nu-metal', 'ukrainian alternative', 'nu metal', 'cyber-folk', 'alternative metal']"
Димна Суміш,"16,390","492,597","['ukrainian', 'grunge', 'alternative', 'post-grunge', 'alternative rock', 'rock']"
Laud,"34,210","284,532","['ukrainian', 'ufa', 'vidbir 2019', 'vidbir', 'ukrainian male vocalists', 'eurovision song contest', 'ukraine']"
XARAKTER,"9,951","275,176","['psychedelic', 'hip hop', 'hip-hop', 'abstract hip-hop', 'ukraine', 'ukrainian', 'slidan', 'experimental ukrainian hip-hop', 'house']"
Крихітка,"13,810","438,030","['ukrainian', 'indie', 'pop rock', 'female vocalists', 'rock', 'alternative rock', 'soft rock']"
Lюк,"15,265","646,068","['trip-hop', 'ukrainian', 'lounge', 'easy listening', 'electronic', 'chillout', 'acid jazz', 'female vocalists']"
Анна,"14,787","464,666","['ukrainian', 'nu-metal', 'alternative', 'nu metal', 'ukrainian alternative', 'alternative metal', 'metal']"
Mistmorn,"11,508","256,405","['ukrainian', 'emo', 'post-punk', 'rock', 'indie', 'alternative', 'alternative rock']"
Воплi Вiдоплясова,"29,429","471,106","['rock', 'ukrainian', 'folk rock', 'ukrainian rock', 'folk', 'russian', 'punk', 'ukraine', 'vopli vidoplyasova']"
Sx1nxwy,"40,602","248,325","['ukraine', 'lutsk', 'phonk']"
Klavdia Petrivna,"9,797","227,732","['ukrainian', 'pop', 'electropop', 'dance', 'indie pop', 'female vocalists', 'folk-pop']"
Schmalgauzen,"5,592","238,221","['cabaret', 'ukrainian', 'ukraine']"
Tember Blanche,"11,801","230,584","['ukrainian', 'indie', 'pop', 'beautiful', 'ethereal', 'ethereal wave', 'indie pop']"
Khrystyna Soloviy,"14,356","231,195","['pop', 'ukraine', 'ukrainian', 'folk pop', 'folk', 'indie pop', 'indie folk']"
dity inzheneriv,"5,724","218,071","['post-punk', 'ukrainian', 'alternative rock', 'alternative', 'indie rock', 'rock', 'indie']"
