title,artist,merged_album
Файне місто тернопіль,Брати Гадюкіни,На!живо
Наркомани на городі,Брати Гадюкіни,Всьо чотко!
Було не любити,Брати Гадюкіни,Було не любити
Звьоздочка моя,Брати Гадюкіни,Всьо чотко!
117 стаття,Брати Гадюкіни,Було не любити
Роксоляна,Брати Гадюкіни,Всьо чотко!
Міську важай,Брати Гадюкіни,Всьо чотко!
"Арівідерчі, Рома",Брати Гадюкіни,Всьо чотко!
Бидло,Брати Гадюкіни,"Щасливої дороги (Бай, бай, мила!)"
Місячне сяйво твого тіла,Брати Гадюкіни,Ми - хлопці з Бандерштадту
Америка,Брати Гадюкіни,Всьо чотко!
Дівчина з коломиї,Брати Гадюкіни,"Щасливої дороги (Бай, бай, мила!)"
Жовті стрічки,Брати Гадюкіни,Було не любити
Червона фіра,Брати Гадюкіни,Ми - хлопці з Бандерштадту
Рок-н-рол до рана,Брати Гадюкіни,Всьо чотко!
Я вернувся домів,Брати Гадюкіни,"Щасливої дороги (Бай, бай, мила!)"
"Чуваки, всьо чотко",Брати Гадюкіни,Всьо чотко!
Ми - хлопці з бандерштадту,Брати Гадюкіни,Ми - хлопці з Бандерштадту
Весілля,Брати Гадюкіни,Ми - хлопці з Бандерштадту
"Ой, лихо",Брати Гадюкіни,Всьо чотко!
"Мамуню, рехтуйте весілля",Брати Гадюкіни,Ми - хлопці з Бандерштадту
Боже не дай,Брати Гадюкіни,Було не любити
Лібідо,Брати Гадюкіни,"Щасливої дороги (Бай, бай, мила!)"
Мертвий півень,Брати Гадюкіни,Всьо чотко!
Джалізова дупа,Брати Гадюкіни,Всьо чотко!
Чому моя мама не любить мене,Брати Гадюкіни,"Щасливої дороги (Бай, бай, мила!)"
На україні лад і спокій,Брати Гадюкіни,Ми - хлопці з Бандерштадту
"Ми ходили, дили, дили",Брати Гадюкіни,"Щасливої дороги (Бай, бай, мила!)"
Соломія,Брати Гадюкіни,"Щасливої дороги (Бай, бай, мила!)"
Карпати програли футбол,Брати Гадюкіни,Було не любити
Клофелін,Брати Гадюкіни,"Щасливої дороги (Бай, бай, мила!)"
Емігрант сонг,Брати Гадюкіни,"Щасливої дороги (Бай, бай, мила!)"
"Сорок пачок ""верховини""",Брати Гадюкіни,Ми - хлопці з Бандерштадту
Коровай,Брати Гадюкіни,Ми - хлопці з Бандерштадту
Мужчина та'як я,Брати Гадюкіни,Ми - хлопці з Бандерштадту
Інтродукція,Брати Гадюкіни,"Щасливої дороги (Бай, бай, мила!)"
Приїдь до мене у мостиска,Брати Гадюкіни,Всьо чотко!
Халі галі,Брати Гадюкіни,"Щасливої дороги (Бай, бай, мила!)"
Дупа джалізовая,Брати Гадюкіни,
На долинi туман шейк,Брати Гадюкіни,Було не любити
Злидні,Брати Гадюкіни,Made In Ukraine
Грай!,Брати Гадюкіни,Made In Ukraine
Пилип з конопель,Брати Гадюкіни,Made In Ukraine
Made In Ukraine,Брати Гадюкіни,about: UKRAINE
Волосся на долоні,Брати Гадюкіни,Made In Ukraine
Вниз по Черемошу,Брати Гадюкіни,Made In Ukraine
Ти кинула,Брати Гадюкіни,"Lyapis Crew Трубьют, Vol. 2"
Шейк,Брати Гадюкіни,Було не любити
Пісня про квартирний вопрос,Брати Гадюкіни,
День народження,Брати Гадюкіни,Made In Ukraine
"Молишся, сину?",Брати Гадюкіни,Made In Ukraine
Бай бай мила,Брати Гадюкіни,
Рік шлюбу,Брати Гадюкіни,Made In Ukraine
Жаба,Брати Гадюкіни,Made In Ukraine
Без тіні,Брати Гадюкіни,Made In Ukraine
Міліон кубометрів,Брати Гадюкіни,Made In Ukraine
Чорна горівка,Брати Гадюкіни,Made In Ukraine
Secondhand Man,Брати Гадюкіни,Made In Ukraine
Nobody Loves Me,Брати Гадюкіни,Made In Ukraine
Чічка Маричка,Брати Гадюкіни,Made In Ukraine
Ptaha Fred,The Unsleeping,
Припустим,The Unsleeping,
Жити,The Unsleeping,
DEDVED,The Unsleeping,
Не Сплю,The Unsleeping,
Fantastic,The Unsleeping,Deviatve
Холодно,The Unsleeping,
Wonderland,The Unsleeping,Deviatve
Denise,The Unsleeping,Deviatve
Переживу,The Unsleeping,"Пиріжок з любов’ю, злістю"
Хіба це життя?,The Unsleeping,Справжній бедрум панк
People All Around,The Unsleeping,Deviatve
Отакої,The Unsleeping,Справжній бедрум панк
Я кусаю щоки,The Unsleeping,Справжній бедрум панк
Спека,The Unsleeping,Справжній бедрум панк
Зле/зле/зле,The Unsleeping,Справжній бедрум панк
Недопитий холодний чай,The Unsleeping,Справжній бедрум панк
Зі скла,The Unsleeping,Справжній бедрум панк
Мусиш,The Unsleeping,Справжній бедрум панк
«Флора»,The Unsleeping,Справжній бедрум панк
Жучара,The Unsleeping,Справжній бедрум панк
Пʼята ранку,The Unsleeping,Справжній бедрум панк
Равлик у вусі,The Unsleeping,Справжній бедрум панк
"Вдома, Європейська 17, 2020",The Unsleeping,Справжній бедрум панк
Готова пісня,The Unsleeping,Справжній бедрум панк
Burning Down,The Unsleeping,
Coming Home,The Unsleeping,
EP Deviatve,The Unsleeping,
FIRE OF RED,The Unsleeping,
Sweater Weather,The Unsleeping,
Home studio live set,The Unsleeping,
Справжній бедрум панк,The Unsleeping,
23:58,The Unsleeping,
Black Costume,The Unsleeping,
Барабан,Artem Pivovarov,THE BEST
Дежавю - UA VERSION,Artem Pivovarov,THE BEST
Майбутність,Artem Pivovarov,THE BEST
Думи,Artem Pivovarov,"Твої Вірші, Мої Ноти PT.1"
Маніфест,Artem Pivovarov,
Очі,Artem Pivovarov,"Твої Вірші, Мої Ноти PT.2"
Ой на горі,Artem Pivovarov,"Твої Вірші, Мої Ноти PT.1"
Радiсно,Artem Pivovarov,THE BEST
Там у тополі,Artem Pivovarov,"Твої Вірші, Мої Ноти PT.1"
Рандеву - UA VERSION,Artem Pivovarov,THE BEST
Кислород,Artem Pivovarov,Стихия воды
Міраж,Artem Pivovarov,THE BEST
Люлі-Люлі,Artem Pivovarov,
Рандеву,Artem Pivovarov,THE BEST
Собирай меня,Artem Pivovarov,Океан
Дом,Artem Pivovarov,Земной
До весни,Artem Pivovarov,"Твої Вірші, Мої Ноти PT.1"
Сьогодні,Artem Pivovarov,
Карма,Artem Pivovarov,Земной
Романс,Artem Pivovarov,
Моя ніч,Artem Pivovarov,THE BEST
Тішся,Artem Pivovarov,
Позови,Artem Pivovarov,Земной
"Ти знаєш, що ти людина",Artem Pivovarov,
Так ніхто не кохав,Artem Pivovarov,"Твої Вірші, Мої Ноти PT.2"
Полнолуние,Artem Pivovarov,Полнолуние
Ой на горі - Acoustic Version,Artem Pivovarov,
Зависимы,Artem Pivovarov,Океан
Люблю,Artem Pivovarov,
Місяць на небі,Artem Pivovarov,"Твої Вірші, Мої Ноти PT.1"
Валторна,Artem Pivovarov,
ВідЗоріДоЗорі,Artem Pivovarov,
2000,Artem Pivovarov,THE BEST
Ніч яка місячна,Artem Pivovarov,
В каждом из нас,Artem Pivovarov,Земной
"Арфами, арфами",Artem Pivovarov,
2000 - UA VERSION,Artem Pivovarov,THE BEST
Відчуй,Artem Pivovarov,THE BEST
Очі - Radio Edit,Artem Pivovarov,THE BEST
Мимо меня,Artem Pivovarov,Земной
Маніфест - Orchestra Live,Artem Pivovarov,THE BEST
Моя ночь,Artem Pivovarov,Стихия воды
Трiолет,Artem Pivovarov,"Твої Вірші, Мої Ноти PT.1"
Оазис,Artem Pivovarov,Земной
Думи - Orchestra Live,Artem Pivovarov,THE BEST
Говори,Artem Pivovarov,Стихия воды
Хвилини,Artem Pivovarov,Океан
Мова,Artem Pivovarov,
Міраж - Orchestra Live,Artem Pivovarov,THE BEST
Молодий,Artem Pivovarov,"Твої Вірші, Мої Ноти PT.1"
На глубине,Artem Pivovarov,Стихия воды
"Мои Стихи, Твои Ноты",Artem Pivovarov,Земной
Кохання,Artem Pivovarov,"Твої Вірші, Мої Ноти PT.2"
Вона,Artem Pivovarov,"Твої Вірші, Мої Ноти PT.2"
Оставайся собой,Artem Pivovarov,Стихия огня
Кислород - Slowed Version,Artem Pivovarov,
Провинциальный,Artem Pivovarov,Стихия огня
Мій Рай,Artem Pivovarov,"Твої Вірші, Мої Ноти PT.1"
Літак,Artem Pivovarov,"Твої Вірші, Мої Ноти PT.1"
Тело,Artem Pivovarov,Стихия огня
Стихия,Artem Pivovarov,Стихия воды
"Минають дні, минають ночі",Artem Pivovarov,THE BEST
Иду,Artem Pivovarov,Стихия воды
Океан,Artem Pivovarov,Океан
Рандеву - Christmas Version,Artem Pivovarov,
Анна,Artem Pivovarov,Океан
Эластично,Artem Pivovarov,Стихия огня
Миру - мир!,Artem Pivovarov,Стихия огня
Что ты имела в виду,Artem Pivovarov,Стихия огня
Цунами,Artem Pivovarov,Океан
Сойти с ума,Artem Pivovarov,Стихия воды
Міраж - Yampolsky Remix,Artem Pivovarov,
Космос,Artem Pivovarov,Океан
Блакить твоїх очей,Artem Pivovarov,"Твої Вірші, Мої Ноти PT.2"
Дежавю - Remix,Artem Pivovarov,
Суперники,Artem Pivovarov,"Твої Вірші, Мої Ноти PT.2"
Джунгли,Artem Pivovarov,Стихия воды
Серце,Artem Pivovarov,"Твої Вірші, Мої Ноти PT.2"
Десь надходила весна,Artem Pivovarov,"Твої Вірші, Мої Ноти PT.2"
Mater Dolorosa,Artem Pivovarov,"Твої Вірші, Мої Ноти PT.2"
Мы молоды,Artem Pivovarov,Океан
Нирвана,Artem Pivovarov,Океан
Выдыхай,Artem Pivovarov,Океан
Сидативи,СТРУКТУРА ЩАСТЯ,СМУГА
ДРУГ,СТРУКТУРА ЩАСТЯ,СМУГА
Запам'ятай мої рядки,СТРУКТУРА ЩАСТЯ,СМУГА
СМУГА,СТРУКТУРА ЩАСТЯ,СМУГА
RAGDOLL,СТРУКТУРА ЩАСТЯ,
Силуети,СТРУКТУРА ЩАСТЯ,
ГОРИЩЕ,СТРУКТУРА ЩАСТЯ,СИСТЕМА ГОРЯ
ДТП,СТРУКТУРА ЩАСТЯ,СМУГА
СИЛУЕТИ - Апатія Remix,СТРУКТУРА ЩАСТЯ,СИСТЕМА ГОРЯ
Біль від дотиків,СТРУКТУРА ЩАСТЯ,ВОВК
СУМ І ГНІВ,СТРУКТУРА ЩАСТЯ,СИСТЕМА ГОРЯ
Мандарина 2023,СТРУКТУРА ЩАСТЯ,
Ти не встиг,СТРУКТУРА ЩАСТЯ,СМУГА
ВОВК,СТРУКТУРА ЩАСТЯ,ВОВК
ДІМ,СТРУКТУРА ЩАСТЯ,СМУГА
МОР,СТРУКТУРА ЩАСТЯ,СМУГА
Сам собі кара,СТРУКТУРА ЩАСТЯ,СМУГА
Адренохром,СТРУКТУРА ЩАСТЯ,ВОВК
ТРУХА,СТРУКТУРА ЩАСТЯ,СИСТЕМА ГОРЯ
WEB-CUM,СТРУКТУРА ЩАСТЯ,СИСТЕМА ГОРЯ
Нема крові,СТРУКТУРА ЩАСТЯ,ВОВК
ТРИГЕР,СТРУКТУРА ЩАСТЯ,ВОВК
Чи знаєш ти?,СТРУКТУРА ЩАСТЯ,ВОВК
Мʼясо-фестиваль,СТРУКТУРА ЩАСТЯ,ВОВК
Глузд,СТРУКТУРА ЩАСТЯ,ВОВК
СНГ,СТРУКТУРА ЩАСТЯ,
Тривожний - Extended Version,СТРУКТУРА ЩАСТЯ,Що спільного між вороном і кроликом?
Амбівалентний,СТРУКТУРА ЩАСТЯ,Що спільного між вороном і кроликом?
Тривожний,СТРУКТУРА ЩАСТЯ,Що спільного між вороном і кроликом?
Уникаючий,СТРУКТУРА ЩАСТЯ,Що спільного між вороном і кроликом?
ДРУГ - XenjeS Remix,СТРУКТУРА ЩАСТЯ,
Надійний,СТРУКТУРА ЩАСТЯ,Що спільного між вороном і кроликом?
MDMA,СТРУКТУРА ЩАСТЯ,
Похититель лун,СТРУКТУРА ЩАСТЯ,
НСТФ,СТРУКТУРА ЩАСТЯ,
Мальчик с веснушками,СТРУКТУРА ЩАСТЯ,
Птица говорун,СТРУКТУРА ЩАСТЯ,
REVOlution,СТРУКТУРА ЩАСТЯ,
Ліпший день,СТРУКТУРА ЩАСТЯ,Кращий час для зустрічі - ніколи
Трохи про нас,СТРУКТУРА ЩАСТЯ,Ближче
Пароль до ї' губ,СТРУКТУРА ЩАСТЯ,Ближче
Забудь мене,СТРУКТУРА ЩАСТЯ,Ближче
Ближче,СТРУКТУРА ЩАСТЯ,Ближче
Ліра,Кому Вниз,Ab Ovo Usque Ad Mala
Микита швачка,Кому Вниз,In Kastus
Птаха на ймення Nachtigall,Кому Вниз,
Суботів,Кому Вниз,In Kastus
Мамай,Кому Вниз,
Привид з гаю,Кому Вниз,In Kastus
Шива,Кому Вниз,Реформація: 25 пунктів
"Ген, долиною",Кому Вниз,In Kastus
Подих,Кому Вниз,In Kastus
Попіл,Кому Вниз,In Kastus
Розрита могила,Кому Вниз,In Kastus
Кленовий вогонь,Кому Вниз,Ab Ovo Usque Ad Mala
Неба зорі,Кому Вниз,Реформація: 25 пунктів
Від києва до ольстера,Кому Вниз,Реформація: 25 пунктів
Ворони,Кому Вниз,
Нава,Кому Вниз,
Нива,Кому Вниз,Реформація: 25 пунктів
Білі демони,Кому Вниз,Реформація: 25 пунктів
Не нарiкаю я на бога,Кому Вниз,In Kastus
Мати,Кому Вниз,
Виє мама,Кому Вниз,
Пісня химерного краю,Кому Вниз,
Крові!,Кому Вниз,
Ельдорадо,Кому Вниз,
Хлопці з Бандерштадту,Кому Вниз,
Навський великдень,Кому Вниз,In Kastus
З «Холодного яру»,Кому Вниз,
Світ білих веж,Кому Вниз,
Срібні твої води,Кому Вниз,In Kastus
І зійде з долонь господніх,Кому Вниз,In Kastus
Мажа-віра,Кому Вниз,Реформація: 25 пунктів
З «Хустини»,Кому Вниз,
Пісня землеробів,Кому Вниз,
Майстер З Міста Hameln,Кому Вниз,In Kastus
Марш норманів,Кому Вниз,
Щодня вона йде назустріч,Кому Вниз,In Kastus
До Основ’яненка,Кому Вниз,
Заповіт арійській людині,Кому Вниз,Реформація: 25 пунктів
Вши,Кому Вниз,
Тихо в горах,Кому Вниз,
Косар обрієм,Кому Вниз,In Kastus
Болеро,Кому Вниз,
"Для тех, кому вниз",Кому Вниз,
Падая вверх,Кому Вниз,
Хибрай,Кому Вниз,
Песня о мире,Кому Вниз,
Печальна жінка,Кому Вниз,
"Вийди, змучена людьми",Кому Вниз,
Серед тіней,Кому Вниз,
Улица чужих лиц,Кому Вниз,
White Demons,Кому Вниз,Ab Ovo Usque Ad Mala
Святий вечір,Кому Вниз,
З Ісусом,Кому Вниз,
Mazha Veera,Кому Вниз,Ab Ovo Usque Ad Mala
Ми - хлопці з Бандерштадту,Кому Вниз,
Shiva's dance,Кому Вниз,Ab Ovo Usque Ad Mala
Човен Ноя,Кому Вниз,
В країні ілюзій,Димна Суміш,В Країні Ілюзій
Кожної весни,Димна Суміш,Димна суміш
Океан,Димна Суміш,В Країні Ілюзій
Ні,Димна Суміш,В Країні Ілюзій
Танцюй танцюй,Димна Суміш,Димна суміш
Кращий друг самурая,Димна Суміш,Димна суміш
Листи,Димна Суміш,В Країні Ілюзій
Школа,Димна Суміш,В Країні Ілюзій
Сльози,Димна Суміш,В Країні Ілюзій
Шукай,Димна Суміш,Димна суміш
Карма,Димна Суміш,Димна суміш
Стіна,Димна Суміш,
Молоток,Димна Суміш,
Психоделічні краї,Димна Суміш,В Країні Ілюзій
Герой,Димна Суміш,
Разом,Димна Суміш,Ти живий
Геть,Димна Суміш,Димна суміш
Друг повернись,Димна Суміш,Димна суміш
Я один,Димна Суміш,Димна суміш
Земля-небо,Димна Суміш,В Країні Ілюзій
Бийся за життя,Димна Суміш,Димна суміш
Згадуй бійся плач і зви,Димна Суміш,Димна суміш
Хіппі,Димна Суміш,В Країні Ілюзій
Вкрай стомлений,Димна Суміш,В Країні Ілюзій
Інший світ,Димна Суміш,В Країні Ілюзій
Все в його руках,Димна Суміш,Димна суміш
На ножах,Димна Суміш,Димна суміш
Повмирай зі мною,Димна Суміш,
Говінда,Димна Суміш,Ти живий
Певно,Димна Суміш,Ти живий
Протидія,Димна Суміш,Ти живий
Ти живий,Димна Суміш,Ти живий
Р`н`р,Димна Суміш,В Країні Ілюзій
Жити знову,Димна Суміш,Ти живий
Ти не один,Димна Суміш,
До побачення,Димна Суміш,
Птах,Димна Суміш,
117 стаття,Димна Суміш,
О Боже Мій,Димна Суміш,
Не мовчи,Димна Суміш,
Зламані,Димна Суміш,
Кiнцева,Димна Суміш,Димна суміш
The Precious Day,Димна Суміш,
Rock'n'Roll,Димна Суміш,
Live Improvisation,Димна Суміш,
Юний орел,Димна Суміш,
Були на селi,Воплі Відоплясова,Хвилі амура
Попс,Воплі Відоплясова,Fayno
Обернись,Воплі Відоплясова,Хвилі амура
Розмова з махатмою,Воплі Відоплясова,Хвилі амура
Вiдрада,Воплі Відоплясова,
Галелуя,Воплі Відоплясова,Найкраще
Пiдманула,Воплі Відоплясова,
Ты ушел,Воплі Відоплясова,Найкраще
Я прошу,Воплі Відоплясова,Любов
"Постой, паровоз!",Воплі Відоплясова,
Iзнов,Воплі Відоплясова,
The Pack of Cigarettes,Воплі Відоплясова,
Знову зима,Воплі Відоплясова,Збiрка танцювальна
Легенда про кохання,Воплі Відоплясова,Країна Мрiй
Знайди мене,Klavdia Petrivna,Бережи мене
Я тобі брехала,Klavdia Petrivna,
Я щаслива - Лікарі кажуть,Klavdia Petrivna,Бережи мене
Імператори,Klavdia Petrivna,
Хто ти,Klavdia Petrivna,Бережи мене
Бережи мене,Klavdia Petrivna,Бережи мене
Їде дах,Klavdia Petrivna,Їде дах
Театр,Klavdia Petrivna,
Знайди мене - KAVA Remix,Klavdia Petrivna,
Уже світає,Klavdia Petrivna,
Дочка самурая,Klavdia Petrivna,Зима
Чорні Білі,Klavdia Petrivna,
Тишина,Klavdia Petrivna,Зима
Сніг,Klavdia Petrivna,
Грудень,Klavdia Petrivna,Зима
Барон,Klavdia Petrivna,Їде дах
"Сонце, жара",Klavdia Petrivna,Їде дах
Зима - Я буду одна,Klavdia Petrivna,Зима
Гра,Klavdia Petrivna,Їде дах
Пам’ятай - Техно,Klavdia Petrivna,Їде дах
Зозуля,Klavdia Petrivna,Їде дах
Верховна жриця,Klavdia Petrivna,Їде дах
Не хочу,Klavdia Petrivna,Їде дах
Зима - «Потяг у 31 грудня»,Klavdia Petrivna,
Я Тобі Брехала tt remix,Klavdia Petrivna,
Невже,Klavdia Petrivna,
Не лякай,Klavdia Petrivna,
Підроби собі паспорт,Klavdia Petrivna,
Вечорниці,Tember Blanche,"Тут нема нікого, окрім нас"
Як день посуне ніч,Tember Blanche,
про Київ,Tember Blanche,
Хованки,Tember Blanche,
О дев'ятій,Tember Blanche,
Ненародженим,Tember Blanche,
Зграя,Tember Blanche,"Тут нема нікого, окрім нас"
Я вдома,Tember Blanche,
Друг,Tember Blanche,"Тут нема нікого, окрім нас"
Хороший хлопець,Tember Blanche,Ти лиш людина
Пролог,Tember Blanche,"Тут нема нікого, окрім нас"
У світ без примар,Tember Blanche,"Тут нема нікого, окрім нас"
Немила,Tember Blanche,"Тут нема нікого, окрім нас"
Танець на стінах,Tember Blanche,"Тут нема нікого, окрім нас"
Завтра,Tember Blanche,Ти лиш людина
Пізно,Tember Blanche,Ти лиш людина
Скажи мені,Tember Blanche,"Тут нема нікого, окрім нас"
Ти живий,Tember Blanche,
Так Чи Інакше,Tember Blanche,Ти лиш людина
Вечорниці - Oisho BTZ remix,Tember Blanche,
Прелюдія,Tember Blanche,Ти лиш людина
Пусти мене,Tember Blanche,Ти лиш людина
В одній кімнаті,Tember Blanche,
Пінгвін,Tember Blanche,
Тиша,Tember Blanche,Ти лиш людина
Ти лиш людина,Tember Blanche,Ти лиш людина
Ван гог,Tember Blanche,Ти лиш людина
Вечорниці - Як на мосту,Tember Blanche,"Тут нема нікого, окрім нас"
Телепат,Tember Blanche,
Спокій,Tember Blanche,Спокій
Красівий,Tember Blanche,
Запитай у серця,Tember Blanche,Re: Yaremchuk
Так люблять лиш раз,Tember Blanche,
Встигнути до 30 - OST,Tember Blanche,
Хочу бути псом,Tember Blanche,Спокій
Спокій - Демо,Tember Blanche,Спокій
Тримай,Khrystyna Soloviy,Жива вода
"Хто, як не ти?",Khrystyna Soloviy,
Fortepiano,Khrystyna Soloviy,Любий друг
Любий друг,Khrystyna Soloviy,Любий друг
Я твоя зброя,Khrystyna Soloviy,
Синя пісня,Khrystyna Soloviy,Жива вода
Несе Галя воду,Khrystyna Soloviy,Жива вода
Шкідлива звичка,Khrystyna Soloviy,Любий друг
Втікала,Khrystyna Soloviy,Rosa Ventorum I
Коала,Khrystyna Soloviy,Rosa Ventorum I
Под облачком,Khrystyna Soloviy,Жива вода
Юність,Khrystyna Soloviy,
До краю,Khrystyna Soloviy,
Стежечка,Khrystyna Soloviy,Любий друг
Чорноморчик,Khrystyna Soloviy,
Янчик,Khrystyna Soloviy,Жива вода
Гамерицкий край,Khrystyna Soloviy,Жива вода
Сідит пташок,Khrystyna Soloviy,Жива вода
Губи в вині,Khrystyna Soloviy,Rosa Ventorum I
Тече вода каламутна,Khrystyna Soloviy,Жива вода
Горе долом,Khrystyna Soloviy,Жива вода
Камертон,Khrystyna Soloviy,
Хвиля,Khrystyna Soloviy,Любий друг
Поки любиш,Khrystyna Soloviy,Любий друг
Океан,Khrystyna Soloviy,Любий друг
Тиха вода,Khrystyna Soloviy,Жива вода
В темну нічку,Khrystyna Soloviy,Жива вода
Краще мовчи,Khrystyna Soloviy,Rosa Ventorum I
Як ішов я,Khrystyna Soloviy,Жива вода
Про весну,Khrystyna Soloviy,Любий друг
"Холодно - З к/ф ""Крути 1918""",Khrystyna Soloviy,
Оченька мої чорні,Khrystyna Soloviy,Любий друг
Бути людьми,Khrystyna Soloviy,Любий друг
Колискова,Khrystyna Soloviy,
Подзвонити мамі,Khrystyna Soloviy,
Народився Бог на санях,Khrystyna Soloviy,Різдвянії сни
Дівчинка «метелики в голові»,Khrystyna Soloviy,Rosa Ventorum I
Кучерики,Khrystyna Soloviy,
Дівчино мила,Khrystyna Soloviy,
Осінь,Khrystyna Soloviy,Rosa Ventorum I
Маланка,Khrystyna Soloviy,Різдвянії сни
В зеленім ліску,Khrystyna Soloviy,Різдвянії сни
Втікала - Instrumental,Khrystyna Soloviy,Rosa Ventorum I
Краще мовчи - Instrumental,Khrystyna Soloviy,Rosa Ventorum I
Ци дома дома білий молодче,Khrystyna Soloviy,Різдвянії сни
Губи в вині - Instrumental,Khrystyna Soloviy,Rosa Ventorum I
Les Goémons,Khrystyna Soloviy,Rosa Ventorum I
Серце,Khrystyna Soloviy,
Synia Pisnia,Khrystyna Soloviy,
Рубці,dity inzheneriv,
Прогноз,dity inzheneriv,"Велкам ту Юкрейн, панк"
ТЕЦ,dity inzheneriv,
Тренди,dity inzheneriv,
Зло,dity inzheneriv,
Зрада,dity inzheneriv,"Велкам ту Юкрейн, панк"
Теорії,dity inzheneriv,
Каштани,dity inzheneriv,
Дай п'ять,dity inzheneriv,Дай п'ять
Як воно?,dity inzheneriv,"Велкам ту Юкрейн, панк"
Навушники,dity inzheneriv,
Друзі,dity inzheneriv,
непотріб,dity inzheneriv,
603700 кв км,dity inzheneriv,
Принциповим,dity inzheneriv,ОМГ (один мільйон гривень)
Збір,dity inzheneriv,
Маленькі диктатори,dity inzheneriv,ОМГ (один мільйон гривень)
Підручники,dity inzheneriv,
Тільки тут,dity inzheneriv,
Тікай,dity inzheneriv,
Синцева фея,dity inzheneriv,ОМГ (один мільйон гривень)
Солідаріті,dity inzheneriv,ОМГ (один мільйон гривень)
Дай п'ять - Remix,dity inzheneriv,Дай п'ять
Життя,dity inzheneriv,
москва,dity inzheneriv,
Navushnyky,dity inzheneriv,
Asha,PROBASS ∆ HARDI,
Козаки йдуть,PROBASS ∆ HARDI,Новий звук етнічної України 3
ГОВОРИТЬ КИЇВ,PROBASS ∆ HARDI,"ДОБРОГО ВЕЧОРА, МИ З УКРАЇНИ!"
TU MO PRO MI,PROBASS ∆ HARDI,
TUMAN,PROBASS ∆ HARDI,"ДОБРОГО ВЕЧОРА, МИ З УКРАЇНИ!"
Mantra,PROBASS ∆ HARDI,
ДО БОЮ,PROBASS ∆ HARDI,"ДОБРОГО ВЕЧОРА, МИ З УКРАЇНИ!"
NAJA-NAJA,PROBASS ∆ HARDI,
DESERT ROSE - Original,PROBASS ∆ HARDI,
Indy,PROBASS ∆ HARDI,
Доброго вечора,PROBASS ∆ HARDI,"ДОБРОГО ВЕЧОРА, МИ З УКРАЇНИ!"
Drama,PROBASS ∆ HARDI,
Роздам сповна,PROBASS ∆ HARDI,
CАМ ГУЛЯЮ!,PROBASS ∆ HARDI,"ДОБРОГО ВЕЧОРА, МИ З УКРАЇНИ!"
ONE SHOT,PROBASS ∆ HARDI,
Козаки йдуть - Extended Mix,PROBASS ∆ HARDI,
Нація,PROBASS ∆ HARDI,"ДОБРОГО ВЕЧОРА, МИ З УКРАЇНИ!"
Палає,PROBASS ∆ HARDI,
BMW vs AMG - Original,PROBASS ∆ HARDI,
SARA,PROBASS ∆ HARDI,
Лови,PROBASS ∆ HARDI,
QAMIN ZANA,PROBASS ∆ HARDI,
Horror,PROBASS ∆ HARDI,
The Boss,PROBASS ∆ HARDI,
Танцуй,PROBASS ∆ HARDI,
POLONYNA,PROBASS ∆ HARDI,
Хто не падає - той не встає,PROBASS ∆ HARDI,
My Adidas,PROBASS ∆ HARDI,
Paradise - Original,PROBASS ∆ HARDI,
Rockstar,PROBASS ∆ HARDI,
БУДЕМ ЖИТИ,PROBASS ∆ HARDI,"ДОБРОГО ВЕЧОРА, МИ З УКРАЇНИ!"
4:30,PROBASS ∆ HARDI,
ПИШАЮСЬ,PROBASS ∆ HARDI,"ДОБРОГО ВЕЧОРА, МИ З УКРАЇНИ!"
Кропива,PROBASS ∆ HARDI,
Доведи,PROBASS ∆ HARDI,
Indy - Rock version,PROBASS ∆ HARDI,
1992,PROBASS ∆ HARDI,
We takin' over,PROBASS ∆ HARDI,
ЗАПИС,PROBASS ∆ HARDI,
NANA,PROBASS ∆ HARDI,
Ой по горі роман цвіте,PROBASS ∆ HARDI,
KAIJU,PROBASS ∆ HARDI,
Світ на плечах,PROBASS ∆ HARDI,
DRONE,PROBASS ∆ HARDI,"ДОБРОГО ВЕЧОРА, МИ З УКРАЇНИ!"
НАСТРОЙ,PROBASS ∆ HARDI,
ДОБРОГО ВЕЧОРА МИ З УКРАЇНИ,PROBASS ∆ HARDI,"ДОБРОГО ВЕЧОРА, МИ З УКРАЇНИ!"
Stupid Rules,PROBASS ∆ HARDI,
Вона,Плач Єремії,
Коли до губ твоїх,Плач Єремії,
Я піду в далекі гори,Плач Єремії,
Лиш вона,Плач Єремії,
Ти втретє цього літа зацвітеш,Плач Єремії,
Грифон,Плач Єремії,
Срібне поле,Плач Єремії,
Не спиняйте її,Плач Єремії,
Єхидна,Плач Єремії,
Хата моя,Плач Єремії,
Коридор,Плач Єремії,
Відшукування причетного,Плач Єремії,
Плач єремії,Плач Єремії,
Колискова,Плач Єремії,
Буде нам з тобою що згадати,Плач Єремії,
"О хто ти, о хто",Плач Єремії,
Літаюча голова,Плач Єремії,
Каламутна вода,Плач Єремії,
Жінка,Плач Єремії,
Пливе кача,Плач Єремії,
Лента за лентою,Плач Єремії,
"Сервус, пане воргол",Плач Єремії,
Жах,Плач Єремії,
Клітка,Плач Єремії,
Марія,Плач Єремії,
Водограй,Плач Єремії,
Червона рута,Плач Єремії,
Три поверхи вертепу,Плач Єремії,
Сніг,Плач Єремії,
Самійло немирич,Плач Єремії,
Нині рождество,Плач Єремії,
Світло і сповідь,Плач Єремії,
