title,artist,spotify_artist,track_id,artist_id,duration_ms,track_popularity,album_id,album_name,album_release_date,total_tracks
"Чуваки, всьо чотко",Брати Гадюкіни,Braty Hadiukiny,3w17Z7rkgj8vHh4QDGU3LA,3Yb7JpWRRyTPLttO6AJBHb,329133,16,7AFWovaaWclERrRwddyHvk,Всьо чотко!,1989-01-01,12
Ми - хлопці з бандерштадту,Брати Гадюкіни,Braty Hadiukiny,0T7wXcLe8G0AudwTwpAbou,3Yb7JpWRRyTPLttO6AJBHb,323506,25,6RYx3iuA6lxproTmBsjHLI,Ми - хлопці з Бандерштадту,1991-01-01,8
Весілля,Брати Гадюкіни,Braty Hadiukiny,0lQJptJCg1QIiixhNEUXqp,3Yb7JpWRRyTPLttO6AJBHb,218506,15,6RYx3iuA6lxproTmBsjHLI,Ми - хлопці з Бандерштадту,1991-01-01,8
"Ой, лихо",Брати Гадюкіни,Braty Hadiukiny,61cwTOGOb3V7Iwp1sCvmPb,3Yb7JpWRRyTPLttO6AJBHb,337400,15,7AFWovaaWclERrRwddyHvk,Всьо чотко!,1989-01-01,12
"Мамуню, рехтуйте весілля",Брати Гадюкіни,Braty Hadiukiny,0lQJptJCg1QIiixhNEUXqp,3Yb7JpWRRyTPLttO6AJBHb,218506,15,6RYx3iuA6lxproTmBsjHLI,Ми - хлопці з Бандерштадту,1991-01-01,8
Боже не дай,Брати Гадюкіни,Braty Hadiukiny,05q9hs2P3cp19vFx7U884C,3Yb7JpWRRyTPLttO6AJBHb,258092,14,7lMxUXwBas3C42zkbaxuFe,Було не любити,2002-01-01,8
Лібідо,Брати Гадюкіни,Braty Hadiukiny,0PkCNGWZkhH37UrYBj0tM4,3Yb7JpWRRyTPLttO6AJBHb,214533,12,05eHVcUPFc0N3ZAKnYo89x,"Щасливої дороги (Бай, бай, мила!)",1996-07-09,11
Мертвий півень,Брати Гадюкіни,Braty Hadiukiny,3fe13tyjE3HROT2Wl5pEH6,3Yb7JpWRRyTPLttO6AJBHb,311880,12,7AFWovaaWclERrRwddyHvk,Всьо чотко!,1989-01-01,12
Джалізова дупа,Брати Гадюкіни,Braty Hadiukiny,7y5EgjVPFHgBa01YdZq4Df,3Yb7JpWRRyTPLttO6AJBHb,248253,18,7AFWovaaWclERrRwddyHvk,Всьо чотко!,1989-01-01,12
Чому моя мама не любить мене,Брати Гадюкіни,Braty Hadiukiny,6jwz0wZNLuHq1Q40V1Y3LW,3Yb7JpWRRyTPLttO6AJBHb,342360,10,05eHVcUPFc0N3ZAKnYo89x,"Щасливої дороги (Бай, бай, мила!)",1996-07-09,11
На україні лад і спокій,Брати Гадюкіни,Braty Hadiukiny,3CjwwyQBWoRMnlKFIRTuSK,3Yb7JpWRRyTPLttO6AJBHb,239506,12,6RYx3iuA6lxproTmBsjHLI,Ми - хлопці з Бандерштадту,1991-01-01,8
"Ми ходили, дили, дили",Брати Гадюкіни,Braty Hadiukiny,0nXgOm2cPQS4ERALGNkYs7,3Yb7JpWRRyTPLttO6AJBHb,411640,11,05eHVcUPFc0N3ZAKnYo89x,"Щасливої дороги (Бай, бай, мила!)",1996-07-09,11
Соломія,Брати Гадюкіни,Braty Hadiukiny,4YC6iRTEZayVsA3WNGqv6D,3Yb7JpWRRyTPLttO6AJBHb,192413,9,05eHVcUPFc0N3ZAKnYo89x,"Щасливої дороги (Бай, бай, мила!)",1996-07-09,11
Карпати програли футбол,Брати Гадюкіни,Braty Hadiukiny,3qiWYi3TWVFQrbavptZ7Xk,3Yb7JpWRRyTPLttO6AJBHb,325200,23,7lMxUXwBas3C42zkbaxuFe,Було не любити,2002-01-01,8
Клофелін,Брати Гадюкіни,Braty Hadiukiny,4HaUJPdee9fqHWVifdx7Je,3Yb7JpWRRyTPLttO6AJBHb,261226,12,05eHVcUPFc0N3ZAKnYo89x,"Щасливої дороги (Бай, бай, мила!)",1996-07-09,11
Емігрант сонг,Брати Гадюкіни,Braty Hadiukiny,3RFJS7NtKFAOp2gX48llcJ,3Yb7JpWRRyTPLttO6AJBHb,222840,17,05eHVcUPFc0N3ZAKnYo89x,"Щасливої дороги (Бай, бай, мила!)",1996-07-09,11
"Сорок пачок ""верховини""",Брати Гадюкіни,Braty Hadiukiny,3pPFOIrpO8y8aeVCxc0cJS,3Yb7JpWRRyTPLttO6AJBHb,192253,17,6RYx3iuA6lxproTmBsjHLI,Ми - хлопці з Бандерштадту,1991-01-01,8
Коровай,Брати Гадюкіни,Braty Hadiukiny,4dhIkPgJGg3yy6x2eKmVzT,3Yb7JpWRRyTPLttO6AJBHb,245386,7,6RYx3iuA6lxproTmBsjHLI,Ми - хлопці з Бандерштадту,1991-01-01,8
