artist,album,num_tracks,album_length,release_date,listeners,scrobbles,tags,tracks
Олександр Пономарьов,Полонений,1,3:03,7 December 2016,27,123,"['ukrainian', 'pop', 'male vocalists', 'ukraine', 'singer-songwriter', 'ukrainian', 'pop', 'male vocalists']",['Полонений']
Олександр Пономарьов,Полонений - Single,1,3:03,7 December 2016,3,7,"['ukrainian', 'pop', 'male vocalists', 'ukraine', 'singer-songwriter', 'ukrainian', 'pop', 'male vocalists']",['Полонений']
Олександр Пономарьов,Зима,1,3:29,8 July 2021,31,41,"['ukrainian', 'pop', 'male vocalists', 'ukraine', 'singer-songwriter', 'ukrainian', 'pop', 'male vocalists']",['Зима']
Олександр Пономарьов,Зима - Single,1,3:29,17 January 2018,4,4,"['ukrainian', 'pop', 'male vocalists', 'ukraine', 'singer-songwriter', 'ukrainian', 'pop', 'male vocalists']",['Зима']
Гурт [О],"Там, куди я йду",1,,26 January 2020,"3,779","22,510","['ukrainian', 'pop', 'electropop', 'indie pop', 'female vocalists', 'ukrainian', 'pop', 'electropop']","['Там, куди я йду']"
Гурт [О],Києве мій,4,,27 May 2020,"1,013","4,484","['4', 'ukrainian', 'pop', 'electropop']","['Києве мій', 'Там, куди я йду', 'Золота пора', 'Там, куди я йду (P. PAT Remix)']"
Гурт [О],Суперінтроверт,10,,20 March 2019,"1,482","20,585","['2', 'ukrainian', 'pop', 'electropop']","['Чим я не така?', 'Соні Уолкмен', 'Нічого, окрім краси', 'Суперінтроверт', 'Поясни', 'Вода', 'Плейбой', 'Колискова', 'Чую', 'Пливи пливи']"
Гурт [О],Золота пора,1,,11 May 2020,672,"2,253","['ukrainian', 'pop', 'electropop', 'indie pop', 'female vocalists', 'ukrainian', 'pop', 'electropop']",['Золота пора']
Гурт [О],Акація,1,3:12,10 June 2021,651,"1,792","['ukrainian', 'pop', 'electropop', 'indie pop', 'female vocalists', 'ukrainian', 'pop', 'electropop']",['Акація']
Гурт [О],Акація - Single,1,3:12,11 June 2021,14,40,"['ukrainian', 'pop', 'electropop', 'indie pop', 'female vocalists', 'ukrainian', 'pop', 'electropop']",['Акація']
Гурт [О],Машина,1,,3 December 2018,475,"2,047","['ukrainian', 'pop', 'electropop', 'indie pop', 'female vocalists', 'ukrainian', 'pop', 'electropop']",['Машина']
Гурт [О],Хто я?,,,,,,[],[]
Скажи щось погане,Легіт - Single,3,7:49,20 July 2022,25,158,"['psychedelic rock', 'new wave', 'ukraine', 'ukrainian', 'indie pop', 'psychedelic rock', 'new wave', 'ukraine']","['Лох', 'Петля', 'Відчуваю легкість,сука']"
Скажи щось погане,Легіт,3,7:49,2022,"1,971","19,085","['psychedelic rock', 'new wave', 'ukraine', 'ukrainian', 'indie pop', 'psychedelic rock', 'new wave', 'ukraine']","['Лох', 'Петля', 'Відчуваю легкість,сука']"
Скажи щось погане,Причини та наслідки самобуття - EP,4,11:27,16 December 2022,13,40,"['psychedelic rock', 'new wave', 'ukraine', 'ukrainian', 'indie pop', 'psychedelic rock', 'new wave', 'ukraine']","['Істота', 'Навіщо?', 'Так боляче!', 'Все, що ти хотіла']"
Скажи щось погане,Причини та наслідки самобуття,4,11:27,16 December 2022,"2,461","19,043","['psychedelic rock', 'new wave', 'ukraine', 'ukrainian', 'indie pop', 'psychedelic rock', 'new wave', 'ukraine']","['Істота', 'Навіщо?', 'Так боляче!', 'Все, що ти хотіла']"
Скажи щось погане,Легіт 2 - Single,3,7:31,27 September 2022,13,60,"['psychedelic rock', 'new wave', 'ukraine', 'ukrainian', 'indie pop', 'psychedelic rock', 'new wave', 'ukraine']","['Твоя кохана', 'Hate and love', 'Скажи щось погане']"
Скажи щось погане,Легіт 2,3,7:31,27 September 2022,"1,884","20,458","['psychedelic rock', 'new wave', 'ukraine', 'ukrainian', 'indie pop', 'psychedelic rock', 'new wave', 'ukraine']","['Твоя кохана', 'Hate and love', 'Скажи щось погане']"
Скажи щось погане,Я кохатимусь під джаз - Single,1,3:48,31 March 2023,15,58,"['psychedelic rock', 'new wave', 'ukraine', 'ukrainian', 'indie pop', 'psychedelic rock', 'new wave', 'ukraine']",['Я кохатимусь під джаз']
Скажи щось погане,Я кохатимусь під джаз,1,3:48,31 March 2023,"1,303","7,493","['psychedelic rock', 'new wave', 'ukraine', 'ukrainian', 'indie pop', 'psychedelic rock', 'new wave', 'ukraine']",['Я кохатимусь під джаз']
Скажи щось погане,Бар,1,2:13,20 July 2023,250,"1,050","['psychedelic rock', 'new wave', 'ukraine', 'ukrainian', 'indie pop', 'psychedelic rock', 'new wave', 'ukraine']",['Бар']
Скажи щось погане,Рефлексія,8,,3 August 2023,"1,068","13,542","['psychedelic rock', 'new wave', 'ukraine', 'ukrainian', 'indie pop', 'psychedelic rock', 'new wave', 'ukraine']","['Бар', 'Чому', 'Косяк', 'Гаддем', 'Пістолет', 'Дев‘яте коло пекла (feat. нестор)', 'Одинокий самурай', 'Нікчема']"
