Epoch	train_cost	val_cost	epoch_time	learing_rate
145	3.4677	4.49939	110.247s	0.0001
146	3.45554	4.52253	110.771s	0.0001
147	3.45197	4.65894	110.654s	0.0001
148	3.43622	4.50081	110.64s	0.0001
149	3.43823	4.5112	110.696s	0.0001
150	3.41589	4.5726	110.577s	0.0001
151	3.40468	4.57095	110.974s	0.0001
152	3.40176	4.54523	110.412s	0.0001
153	3.38589	4.53877	110.361s	0.0001
154	3.38422	4.46599	110.325s	0.0001
155	3.36063	4.50932	110.25s	0.0001
156	3.36059	4.60846	110.241s	0.0001
157	3.34614	4.40273	110.506s	0.0001
158	3.36875	4.48379	110.853s	0.0001
159	3.34221	4.55791	110.91s	0.0001
160	3.32071	4.61499	110.603s	0.0001
161	3.31301	4.52718	110.809s	0.0001
162	3.30732	4.47572	113.189s	0.0001
163	3.28038	4.39936	111.165s	0.0001
164	3.28538	4.59998	110.774s	0.0001
165	3.25609	4.53118	110.445s	0.0001
166	3.25735	4.54951	111.985s	0.0001
167	3.25102	4.53644	110.654s	0.0001
168	3.24252	4.49672	110.689s	0.0001
169	3.2501	4.48279	110.943s	0.0001
170	3.24121	4.48098	110.278s	0.0001
171	3.22358	4.43346	110.743s	0.0001
172	3.22137	4.54763	110.46s	0.0001
173	3.19353	4.48999	110.721s	0.0001
174	3.21983	4.52848	111.187s	0.0001
175	3.23105	4.40626	111s	0.0001
176	3.19393	4.48243	110.592s	0.0001
177	3.15292	4.39047	110.922s	0.0001
178	3.15632	4.49449	110.983s	0.0001
179	3.13575	4.44113	111.095s	0.0001
180	3.13761	4.46475	111.033s	0.0001
181	3.13018	4.46039	111.422s	0.0001
182	3.1093	4.36495	110.773s	0.0001
183	3.10548	4.45856	110.914s	0.0001
184	3.10001	4.38813	110.655s	0.0001
185	3.09212	4.35395	113.211s	0.0001
186	3.07766	4.47978	112.067s	0.0001
187	3.06544	4.4843	113.355s	0.0001
188	3.06625	4.43019	111.781s	0.0001
189	3.06091	4.43655	111.392s	0.0001
190	3.05612	4.42468	112.101s	0.0001
191	3.03084	4.4525	113.269s	0.0001
192	3.00972	4.40446	112.962s	0.0001
193	3.01923	4.39779	112.315s	0.0001
194	3.0071	4.34341	112.591s	0.0001
195	3.04653	4.46832	112.016s	0.0001
196	2.99815	4.40404	112.604s	0.0001
197	2.98732	4.37869	111.874s	0.0001
198	2.98232	4.35933	111.634s	0.0001
199	2.96021	4.34638	111.688s	0.0001
200	2.95788	4.32508	111.526s	0.0001
201	2.93944	4.41679	110.674s	0.0001
202	2.93243	4.37219	111.174s	0.0001
