artist,artist_listeners,artist_scrobbles,artist_tags
Арсен Мірзоян,6806.0,140366.0,"['ukrainian', 'rock', 'singer-songwriter', 'ukrainian rock']"
Маша Кондратенко,7218.0,89113.0,"['ukrainian', 'pop', 'electropop', 'booba', 'ukrainian pop', 'bayracore']"
Олександр Пономарьов,10412.0,133814.0,"['ukrainian', 'pop', 'male vocalists', 'ukraine', 'singer-songwriter', 'eurovision']"
Гурт [О],6723.0,95211.0,"['ukrainian', 'pop', 'electropop', 'indie pop', 'female vocalists', 'future pop', '2']"
Скажи щось погане,4715.0,82593.0,"['psychedelic rock', 'ukrainian', 'indie pop', 'new wave', 'indie rock', 'lo-fi', 'art rock', 'ukraine', 'punk', 'alternative rock']"
Без Обмежень,5315.0,95218.0,"['ukrainian', 'rock', 'rap', 'ukrainian rap']"
Ігор Кайдаш,5618.0,79910.0,"['indie pop', 'indie rock', 'ukrainian', 'lo-fi', 'ukraine']"
Тарас Чубай,7718.0,91736.0,"['ukrainian', 'ukraine', 'rock', 'ukrainian rock', 'folk']"
Серцевий Напад,7717.0,140438.0,"['punk', 'ukrainian', 'punk rock', 'pop punk', 'ukrainian punk', 'rock', 'punk-rock']"
Орест Лютий,4492.0,82936.0,"['ukrainian', 'comedy', 'parody', 'neofolk']"
Нумер 482,6963.0,94210.0,"['ukrainian', 'rock', 'alternative', 'ukrainian rock', 'alternative rock', 'pop rock', 'ukrainian alternative']"
Марія Бурмака,5417.0,106046.0,"['ukrainian', 'female vocalists', 'ukraine', 'pop-rock', 'pop', 'folk', 'singer-songwriter']"
Катя Chilly,4952.0,119507.0,"['ukrainian', 'ethnic', 'electronic', 'female vocalists', 'synthpop', 'folk']"
To Eternity,6176.0,59788.0,"['ukrainian', 'pop', 'indie pop', 'ukranian', 'ukraine']"
Dazzle Dreams,5948.0,109380.0,"['ukrainian', 'electronic', 'electropop', 'ambient', 'synth pop', 'ethnic', 'synthpop']"
