Epoch	train_cost	val_cost	epoch_time	learing_rate
127	0.154369	0.136708	106.218s	1e-05
128	0.155346	0.137936	106.401s	1e-05
129	0.154588	0.135895	106.267s	1e-05
130	0.153356	0.138288	106.125s	1e-05
131	0.153929	0.13581	106.068s	1e-05
132	0.153606	0.138313	106.257s	1e-05
133	0.152948	0.138623	106.004s	1e-05
134	0.15096	0.137054	106.12s	1e-05
135	0.150814	0.136448	106.335s	1e-05
136	0.150743	0.13714	106.214s	1e-05
137	0.151155	0.136338	105.932s	1e-05
138	0.150789	0.138111	106.12s	1e-05
139	0.14976	0.134899	106.051s	1e-05
140	0.150298	0.139062	106.245s	1e-05
141	0.14993	0.134708	106.871s	1e-05
142	0.15027	0.136423	106.102s	1e-05
143	0.148446	0.13793	106.144s	1e-05
144	0.148013	0.134612	106.198s	1e-05
145	0.147074	0.138721	106.224s	1e-05
146	0.147977	0.134386	106.14s	1e-05
147	0.148332	0.133383	106.247s	1e-05
148	0.148566	0.139382	106.192s	1e-05
149	0.148114	0.133864	106.031s	1e-05
150	0.147299	0.133463	106.426s	1e-05
151	0.146045	0.138709	106.166s	1e-05
152	0.146157	0.134578	105.996s	1e-05
153	0.147178	0.137749	106.415s	1e-05
154	0.146814	0.13571	106.112s	1e-05
155	0.147964	0.132363	106.061s	1e-05
156	0.14573	0.133719	105.945s	1e-05
157	0.1452	0.132165	105.806s	1e-05
158	0.144772	0.136249	106.083s	1e-05
159	0.14596	0.131704	106.315s	1e-05
160	0.145208	0.132841	106.364s	1e-05
161	0.145327	0.134062	106.333s	1e-05
162	0.144948	0.132468	106.554s	1e-05
163	0.145367	0.130924	106.276s	1e-05
164	0.143916	0.131951	106.019s	1e-05
165	0.145015	0.134615	106.391s	1e-05
166	0.142206	0.131893	106.335s	1e-05
167	0.144367	0.132618	106.42s	1e-05
168	0.143123	0.134893	106.593s	1e-05
169	0.141544	0.13282	106.512s	1e-05
170	0.141373	0.132415	106.334s	1e-05
171	0.141109	0.133364	106.338s	1e-05
172	0.141846	0.131248	106.693s	1e-05
173	0.142263	0.139988	106.385s	1e-05
174	0.141803	0.129711	106.421s	1e-05
175	0.139832	0.132453	106.64s	1e-05
176	0.141129	0.133975	106.811s	1e-05
177	0.141176	0.130866	106.941s	1e-05
178	0.140469	0.133299	107.22s	1e-05
179	0.140181	0.129111	106.591s	1e-05
180	0.139524	0.131196	105.925s	1e-05
181	0.139525	0.130601	106.349s	1e-05
182	0.139692	0.134093	106.347s	1e-05
183	0.13892	0.129745	106.741s	1e-05
184	0.139106	0.136322	106.594s	1e-05
185	0.139282	0.129726	106.606s	1e-05
186	0.13795	0.129428	106.59s	5e-06
187	0.138314	0.129665	106.492s	5e-06
188	0.136851	0.13044	106.089s	5e-06
189	0.136462	0.129179	106.139s	5e-06
190	0.138226	0.129581	106.542s	5e-06
191	0.136	0.129887	106.257s	5e-06
192	0.13653	0.128314	106.185s	5e-06
193	0.136859	0.127819	106.392s	5e-06
194	0.13611	0.129501	106.234s	5e-06
195	0.135822	0.127364	106.621s	5e-06
196	0.135728	0.129432	106.396s	5e-06
197	0.135266	0.129201	106.408s	5e-06
198	0.135183	0.126411	106.452s	5e-06
199	0.136456	0.125633	106.634s	5e-06
200	0.133361	0.128836	106.404s	5e-06
201	0.136044	0.127799	106.511s	5e-06
202	0.134539	0.129612	106.736s	5e-06
203	0.135482	0.129051	106.431s	5e-06
204	0.134812	0.129881	106.431s	5e-06
205	0.136038	0.12972	106.701s	5e-06
206	0.135478	0.127103	106.732s	5e-06
207	0.135296	0.129188	106.348s	5e-06
208	0.134041	0.133827	106.43s	5e-06
209	0.13487	0.128511	106.431s	5e-06
210	0.133544	0.127938	106.58s	5e-06
211	0.133561	0.128423	106.517s	5e-06
212	0.134637	0.128601	106.128s	5e-06
213	0.133772	0.129525	106.326s	5e-06
214	0.133301	0.126685	106.364s	5e-06
215	0.134109	0.127111	106.532s	5e-06
216	0.133086	0.126596	106.519s	5e-06
217	0.132166	0.128826	106.496s	5e-06
218	0.13298	0.125537	106.983s	5e-06
219	0.133388	0.132752	105.955s	5e-06
220	0.132433	0.127409	106.377s	5e-06
