title,artist,albums,albums_filtered,main_album
Вона сама сюди прийшла,Жадан і собаки,[],[],Other
Закладчик,Жадан і собаки,"['Злий [Explicit]', 'Злий']",['Злий'],Злий
Печінка,Жадан і собаки,"['Злий [Explicit]', 'Злий']",['Злий'],Злий
Забухав,Жадан і собаки,"['Злий [Explicit]', 'Злий']",['Злий'],Злий
Рок-н-рол,Жадан і собаки,['Злий'],['Злий'],Злий
Антидепресанти,Жадан і собаки,"['Злий [Explicit]', 'Злий']",['Злий'],Злий
Сплин - Выхода нет,Жадан і собаки,[],[],Other
Девушка с обложки,Жадан і собаки,[],[],Other
Файне місто тернопіль,Брати Гадюкіни,"['Було Не Любити', 'Було не любити']",['Було Не Любити'],Було Не Любити
Наркомани на городі,Брати Гадюкіни,"['Всьо чотко!', 'Краще']","['Всьо чотко!', 'Краще']",Всьо чотко!
Було не любити,Брати Гадюкіни,"['Було не любити', 'Краще']","['Було Не Любити', 'Краще']",Було Не Любити
Звьоздочка моя,Брати Гадюкіни,"['Всьо чотко!', 'На!Живо']",['Всьо чотко!'],Всьо чотко!
117 стаття,Брати Гадюкіни,"['Було Не Любити', 'Було не любити']",['Було Не Любити'],Було Не Любити
Роксоляна,Брати Гадюкіни,"['Всьо чотко!', 'Краще']","['Всьо чотко!', 'Краще']",Всьо чотко!
Міську важай,Брати Гадюкіни,"['Всьо чотко!', 'Вродило! (Live 2006)']",['Всьо чотко!'],Всьо чотко!
"Арівідерчі, Рома",Брати Гадюкіни,"['Всьо чотко!', 'Love Story']","['Love Story', 'Всьо чотко!']",Всьо чотко!
Бидло,Брати Гадюкіни,"['Щасливої Дороги', 'Щасливої дороги (Бай, бай, мила!)']",['Щасливої Дороги'],Щасливої Дороги
Місячне сяйво твого тіла,Брати Гадюкіни,"['Ми - хлопці з Бандерштадту', 'Краще']","['Краще', 'Ми - хлопці з Бандерштадту']",Краще
Америка,Брати Гадюкіни,"['Всьо чотко!', 'Вродило!']",['Всьо чотко!'],Всьо чотко!
Дівчина з коломиї,Брати Гадюкіни,"['Щасливої Дороги', 'Краще']","['Краще', 'Щасливої Дороги']",Краще
Жовті стрічки,Брати Гадюкіни,"['Було не любити', 'Love Story']","['Love Story', 'Було Не Любити']",Було Не Любити
Червона фіра,Брати Гадюкіни,"['Ми - хлопці з Бандерштадту', 'Брати Гадюкіни']","['Брати Гадюкіни', 'Ми - хлопці з Бандерштадту']",Ми - хлопці з Бандерштадту
Рок-н-рол до рана,Брати Гадюкіни,"['Всьо чотко!', 'Брати Гадюкіни']","['Брати Гадюкіни', 'Всьо чотко!']",Всьо чотко!
Я вернувся домів,Брати Гадюкіни,"['Щасливої Дороги', 'Краще']","['Краще', 'Щасливої Дороги']",Краще
"Чуваки, всьо чотко",Брати Гадюкіни,"['Всьо чотко!', 'Брати Гадюкіни']","['Брати Гадюкіни', 'Всьо чотко!']",Всьо чотко!
Ми - хлопці з бандерштадту,Брати Гадюкіни,"['Ми - хлопці з Бандерштадту', 'Брати Гадюкіни']","['Брати Гадюкіни', 'Ми - хлопці з Бандерштадту']",Ми - хлопці з Бандерштадту
Весілля,Брати Гадюкіни,"['Було Не Любити', 'Було не любити']",['Було Не Любити'],Було Не Любити
"Ой, лихо",Брати Гадюкіни,"['Всьо чотко!', 'Краще']","['Всьо чотко!', 'Краще']",Всьо чотко!
"Мамуню, рехтуйте весілля",Брати Гадюкіни,"['Ми - хлопці з Бандерштадту', 'Краще']","['Краще', 'Ми - хлопці з Бандерштадту']",Краще
Боже не дай,Брати Гадюкіни,"['Було Не Любити', 'Було не любити']",['Було Не Любити'],Було Не Любити
Лібідо,Брати Гадюкіни,"['Щасливої Дороги', 'Love Story']","['Love Story', 'Щасливої Дороги']",Щасливої Дороги
Мертвий півень,Брати Гадюкіни,"['Всьо чотко!', 'Брати Гадюкіни']","['Брати Гадюкіни', 'Всьо чотко!']",Всьо чотко!
Джалізова дупа,Брати Гадюкіни,"['Всьо чотко!', 'Краще']","['Всьо чотко!', 'Краще']",Всьо чотко!
Чому моя мама не любить мене,Брати Гадюкіни,"['Щасливої Дороги', 'Щасливої дороги (Бай, бай, мила!)']",['Щасливої Дороги'],Щасливої Дороги
На україні лад і спокій,Брати Гадюкіни,"['Ми - хлопці з Бандерштадту', 'Брати Гадюкіни']","['Брати Гадюкіни', 'Ми - хлопці з Бандерштадту']",Ми - хлопці з Бандерштадту
"Ми ходили, дили, дили",Брати Гадюкіни,"['Щасливої Дороги', 'Щасливої дороги (Бай, бай, мила!)']",['Щасливої Дороги'],Щасливої Дороги
Соломія,Брати Гадюкіни,"['Щасливої Дороги', 'Love Story']","['Love Story', 'Щасливої Дороги']",Щасливої Дороги
Карпати програли футбол,Брати Гадюкіни,[],[],Other
Клофелін,Брати Гадюкіни,"['Щасливої Дороги', 'Love Story']","['Love Story', 'Щасливої Дороги']",Щасливої Дороги
Емігрант сонг,Брати Гадюкіни,"['Щасливої Дороги', 'Щасливої дороги (Бай, бай, мила!)']",['Щасливої Дороги'],Щасливої Дороги
"Сорок пачок ""верховини""",Брати Гадюкіни,"['Ми - хлопці з Бандерштадту', 'Краще']","['Краще', 'Ми - хлопці з Бандерштадту']",Краще
Коровай,Брати Гадюкіни,"['Ми - хлопці з Бандерштадту', 'Брати Гадюкіни']","['Брати Гадюкіни', 'Ми - хлопці з Бандерштадту']",Ми - хлопці з Бандерштадту
Мужчина та'як я,Брати Гадюкіни,"['Ми - хлопці з Бандерштадту', 'Брати Гадюкіни']","['Брати Гадюкіни', 'Ми - хлопці з Бандерштадту']",Ми - хлопці з Бандерштадту
Інтродукція,Брати Гадюкіни,"['Щасливої Дороги', 'Щасливої дороги (Бай, бай, мила!)']",['Щасливої Дороги'],Щасливої Дороги
Приїдь до мене у мостиска,Брати Гадюкіни,"['Всьо чотко!', 'Брати Гадюкіни']","['Брати Гадюкіни', 'Всьо чотко!']",Всьо чотко!
Халі галі,Брати Гадюкіни,"['Щасливої Дороги', 'Щасливої дороги (Бай, бай, мила!)']",['Щасливої Дороги'],Щасливої Дороги
Дупа джалізовая,Брати Гадюкіни,"['Вродило! (Live 2006)', 'Вродило!']",[],Other
На долинi туман шейк,Брати Гадюкіни,[],[],Other
Злидні,Брати Гадюкіни,"['Made In Ukraine', 'Made in Ukraine [Explicit]']",['Made In Ukraine'],Made In Ukraine
Грай!,Брати Гадюкіни,"['Made In Ukraine', 'Made in Ukraine [Explicit]']",['Made In Ukraine'],Made In Ukraine
Пилип з конопель,Брати Гадюкіни,"['Made In Ukraine', 'Made in Ukraine [Explicit]']",['Made In Ukraine'],Made In Ukraine
Made In Ukraine,Брати Гадюкіни,"['Made In Ukraine', 'За Україну!']",['Made In Ukraine'],Made In Ukraine
Волосся на долоні,Брати Гадюкіни,"['Made In Ukraine', 'Made in Ukraine [Explicit]']",['Made In Ukraine'],Made In Ukraine
Вниз по Черемошу,Брати Гадюкіни,"['Made In Ukraine', 'Made in Ukraine [Explicit]']",['Made In Ukraine'],Made In Ukraine
Ти кинула,Брати Гадюкіни,[],[],Other
Шейк,Брати Гадюкіни,"['Вродило! (Live 2006)', 'Вродило!']",[],Other
Пісня про квартирний вопрос,Брати Гадюкіни,[],[],Other
День народження,Брати Гадюкіни,"['Made In Ukraine', 'Made in Ukraine [Explicit]']",['Made In Ukraine'],Made In Ukraine
"Молишся, сину?",Брати Гадюкіни,"['Made In Ukraine', 'Made in Ukraine [Explicit]']",['Made In Ukraine'],Made In Ukraine
Бай бай мила,Брати Гадюкіни,[],[],Other
Рік шлюбу,Брати Гадюкіни,"['Made In Ukraine', 'Made in Ukraine [Explicit]']",['Made In Ukraine'],Made In Ukraine
Жаба,Брати Гадюкіни,"['Made In Ukraine', 'Made in Ukraine [Explicit]']",['Made In Ukraine'],Made In Ukraine
Без тіні,Брати Гадюкіни,"['Made In Ukraine', 'Made in Ukraine [Explicit]']",['Made In Ukraine'],Made In Ukraine
Міліон кубометрів,Брати Гадюкіни,"['Made In Ukraine', 'Made in Ukraine [Explicit]']",['Made In Ukraine'],Made In Ukraine
Чорна горівка,Брати Гадюкіни,"['Made In Ukraine', 'Made in Ukraine [Explicit]']",['Made In Ukraine'],Made In Ukraine
Secondhand Man,Брати Гадюкіни,"['Made In Ukraine', 'Made in Ukraine [Explicit]']",['Made In Ukraine'],Made In Ukraine
Nobody Loves Me,Брати Гадюкіни,"['Made In Ukraine', 'Made in Ukraine [Explicit]']",['Made In Ukraine'],Made In Ukraine
Чічка Маричка,Брати Гадюкіни,['Made In Ukraine'],['Made In Ukraine'],Made In Ukraine
Ptaha Fred,The Unsleeping,"['Ptaha Fred - Single', 'Ptaha Fred']",[],Other
Припустим,The Unsleeping,"['Припустим', 'Припустим - Single']",[],Other
Жити,The Unsleeping,"['Жити', 'Пиріжок з любов’ю, злістю']","['Пиріжок з любов’ю, злістю']",Other
DEDVED,The Unsleeping,"['DEDVED - Single', 'Dedved']",[],Other
Не Сплю,The Unsleeping,"['Не Сплю', 'Пиріжок з любов’ю, злістю']","['Пиріжок з любов’ю, злістю']",Other
Fantastic,The Unsleeping,"['Deviatve', 'Deviatve - EP']",['Deviatve'],Deviatve
Холодно,The Unsleeping,"['Холодно', 'Пиріжок з любов’ю, злістю']","['Пиріжок з любов’ю, злістю']",Other
Wonderland,The Unsleeping,"['Deviatve - EP', 'Deviatve']",['Deviatve'],Deviatve
Denise,The Unsleeping,"['Deviatve', 'Deviatve - EP']",['Deviatve'],Deviatve
Переживу,The Unsleeping,"['Пиріжок з любов’ю, злістю - EP']","['Пиріжок з любов’ю, злістю - EP']",Other
Хіба це життя?,The Unsleeping,['Справжній бедрум панк'],['Справжній бедрум панк'],Справжній бедрум панк
People All Around,The Unsleeping,"['Deviatve', 'Deviatve - EP']",['Deviatve'],Deviatve
Отакої,The Unsleeping,['Справжній бедрум панк'],['Справжній бедрум панк'],Справжній бедрум панк
Я кусаю щоки,The Unsleeping,['Справжній бедрум панк'],['Справжній бедрум панк'],Справжній бедрум панк
Спека,The Unsleeping,['Справжній бедрум панк'],['Справжній бедрум панк'],Справжній бедрум панк
Зле/зле/зле,The Unsleeping,[],[],Other
Недопитий холодний чай,The Unsleeping,['Справжній бедрум панк'],['Справжній бедрум панк'],Справжній бедрум панк
Зі скла,The Unsleeping,[],[],Other
Мусиш,The Unsleeping,['Справжній бедрум панк'],['Справжній бедрум панк'],Справжній бедрум панк
«Флора»,The Unsleeping,['Справжній бедрум панк'],['Справжній бедрум панк'],Справжній бедрум панк
Жучара,The Unsleeping,['Справжній бедрум панк'],['Справжній бедрум панк'],Справжній бедрум панк
Пʼята ранку,The Unsleeping,['Справжній бедрум панк'],['Справжній бедрум панк'],Справжній бедрум панк
Равлик у вусі,The Unsleeping,['Справжній бедрум панк'],['Справжній бедрум панк'],Справжній бедрум панк
"Вдома, Європейська 17, 2020",The Unsleeping,['Справжній бедрум панк'],['Справжній бедрум панк'],Справжній бедрум панк
Готова пісня,The Unsleeping,['Справжній бедрум панк'],['Справжній бедрум панк'],Справжній бедрум панк
Burning Down,The Unsleeping,[],[],Other
Coming Home,The Unsleeping,[],[],Other
EP Deviatve,The Unsleeping,[],[],Other
FIRE OF RED,The Unsleeping,[],[],Other
Sweater Weather,The Unsleeping,[],[],Other
Home studio live set,The Unsleeping,[],[],Other
Справжній бедрум панк,The Unsleeping,[],[],Other
23:58,The Unsleeping,[],[],Other
Black Costume,The Unsleeping,[],[],Other
Барабан,Artem Pivovarov,[],[],Other
Дежавю - UA VERSION,Artem Pivovarov,[],[],Other
Майбутність,Artem Pivovarov,[],[],Other
Думи,Artem Pivovarov,[],[],Other
Маніфест,Artem Pivovarov,[],[],Other
Очі,Artem Pivovarov,[],[],Other
Ой на горі,Artem Pivovarov,[],[],Other
Радiсно,Artem Pivovarov,[],[],Other
Там у тополі,Artem Pivovarov,[],[],Other
Рандеву - UA VERSION,Artem Pivovarov,[],[],Other
Кислород,Artem Pivovarov,[],[],Other
Міраж,Artem Pivovarov,[],[],Other
Люлі-Люлі,Artem Pivovarov,[],[],Other
Рандеву,Artem Pivovarov,[],[],Other
Собирай меня,Artem Pivovarov,[],[],Other
Дом,Artem Pivovarov,[],[],Other
До весни,Artem Pivovarov,[],[],Other
Сьогодні,Artem Pivovarov,[],[],Other
Карма,Artem Pivovarov,[],[],Other
Романс,Artem Pivovarov,[],[],Other
Моя ніч,Artem Pivovarov,[],[],Other
Тішся,Artem Pivovarov,[],[],Other
Позови,Artem Pivovarov,[],[],Other
"Ти знаєш, що ти людина",Artem Pivovarov,[],[],Other
Так ніхто не кохав,Artem Pivovarov,[],[],Other
Полнолуние,Artem Pivovarov,[],[],Other
Ой на горі - Acoustic Version,Artem Pivovarov,[],[],Other
Зависимы,Artem Pivovarov,[],[],Other
Люблю,Artem Pivovarov,[],[],Other
Місяць на небі,Artem Pivovarov,[],[],Other
Валторна,Artem Pivovarov,[],[],Other
ВідЗоріДоЗорі,Artem Pivovarov,[],[],Other
2000,Artem Pivovarov,[],[],Other
Ніч яка місячна,Artem Pivovarov,[],[],Other
В каждом из нас,Artem Pivovarov,[],[],Other
"Арфами, арфами",Artem Pivovarov,[],[],Other
2000 - UA VERSION,Artem Pivovarov,[],[],Other
Відчуй,Artem Pivovarov,[],[],Other
Очі - Radio Edit,Artem Pivovarov,[],[],Other
Мимо меня,Artem Pivovarov,[],[],Other
Маніфест - Orchestra Live,Artem Pivovarov,[],[],Other
Моя ночь,Artem Pivovarov,[],[],Other
Трiолет,Artem Pivovarov,[],[],Other
Оазис,Artem Pivovarov,[],[],Other
Думи - Orchestra Live,Artem Pivovarov,[],[],Other
Говори,Artem Pivovarov,[],[],Other
Хвилини,Artem Pivovarov,[],[],Other
Мова,Artem Pivovarov,[],[],Other
Міраж - Orchestra Live,Artem Pivovarov,[],[],Other
Молодий,Artem Pivovarov,[],[],Other
На глубине,Artem Pivovarov,[],[],Other
"Мои Стихи, Твои Ноты",Artem Pivovarov,[],[],Other
Кохання,Artem Pivovarov,[],[],Other
Вона,Artem Pivovarov,[],[],Other
Оставайся собой,Artem Pivovarov,[],[],Other
Кислород - Slowed Version,Artem Pivovarov,[],[],Other
Провинциальный,Artem Pivovarov,[],[],Other
Мій Рай,Artem Pivovarov,[],[],Other
Літак,Artem Pivovarov,[],[],Other
Тело,Artem Pivovarov,[],[],Other
Стихия,Artem Pivovarov,[],[],Other
"Минають дні, минають ночі",Artem Pivovarov,[],[],Other
Иду,Artem Pivovarov,[],[],Other
Океан,Artem Pivovarov,[],[],Other
Рандеву - Christmas Version,Artem Pivovarov,[],[],Other
Анна,Artem Pivovarov,[],[],Other
Эластично,Artem Pivovarov,[],[],Other
Миру - мир!,Artem Pivovarov,[],[],Other
Что ты имела в виду,Artem Pivovarov,[],[],Other
Цунами,Artem Pivovarov,[],[],Other
Сойти с ума,Artem Pivovarov,[],[],Other
Міраж - Yampolsky Remix,Artem Pivovarov,[],[],Other
Космос,Artem Pivovarov,[],[],Other
Блакить твоїх очей,Artem Pivovarov,[],[],Other
Дежавю - Remix,Artem Pivovarov,[],[],Other
Суперники,Artem Pivovarov,[],[],Other
Джунгли,Artem Pivovarov,[],[],Other
Серце,Artem Pivovarov,[],[],Other
Десь надходила весна,Artem Pivovarov,[],[],Other
Mater Dolorosa,Artem Pivovarov,[],[],Other
Мы молоды,Artem Pivovarov,[],[],Other
Нирвана,Artem Pivovarov,[],[],Other
Выдыхай,Artem Pivovarov,[],[],Other
Сидативи,СТРУКТУРА ЩАСТЯ,"['Сидативи', 'СМУГА']",['СМУГА'],СМУГА
ДРУГ,СТРУКТУРА ЩАСТЯ,"['ДРУГ - Single', 'СМУГА']",['СМУГА'],СМУГА
Запам'ятай мої рядки,СТРУКТУРА ЩАСТЯ,[],[],Other
СМУГА,СТРУКТУРА ЩАСТЯ,['СМУГА'],['СМУГА'],СМУГА
RAGDOLL,СТРУКТУРА ЩАСТЯ,[],[],Other
Силуети,СТРУКТУРА ЩАСТЯ,[],[],Other
ГОРИЩЕ,СТРУКТУРА ЩАСТЯ,"['СИСТЕМА ГОРЯ - EP', 'СИСТЕМА ГОРЯ']",['СИСТЕМА ГОРЯ - EP'],СИСТЕМА ГОРЯ - EP
ДТП,СТРУКТУРА ЩАСТЯ,['СМУГА'],['СМУГА'],СМУГА
СИЛУЕТИ - Апатія Remix,СТРУКТУРА ЩАСТЯ,[],[],Other
Біль від дотиків,СТРУКТУРА ЩАСТЯ,"['Біль від дотиків', 'ВОВК']",['ВОВК'],ВОВК
СУМ І ГНІВ,СТРУКТУРА ЩАСТЯ,"['СИСТЕМА ГОРЯ - EP', 'СИСТЕМА ГОРЯ']",['СИСТЕМА ГОРЯ - EP'],СИСТЕМА ГОРЯ - EP
Мандарина 2023,СТРУКТУРА ЩАСТЯ,[],[],Other
Ти не встиг,СТРУКТУРА ЩАСТЯ,[],[],Other
ВОВК,СТРУКТУРА ЩАСТЯ,['ВОВК'],['ВОВК'],ВОВК
ДІМ,СТРУКТУРА ЩАСТЯ,[],[],Other
МОР,СТРУКТУРА ЩАСТЯ,['СМУГА'],['СМУГА'],СМУГА
Сам собі кара,СТРУКТУРА ЩАСТЯ,[],[],Other
Адренохром,СТРУКТУРА ЩАСТЯ,['ВОВК'],['ВОВК'],ВОВК
ТРУХА,СТРУКТУРА ЩАСТЯ,"['СИСТЕМА ГОРЯ - EP', 'СИСТЕМА ГОРЯ']",['СИСТЕМА ГОРЯ - EP'],СИСТЕМА ГОРЯ - EP
WEB-CUM,СТРУКТУРА ЩАСТЯ,"['СИСТЕМА ГОРЯ - EP', 'СИСТЕМА ГОРЯ']",['СИСТЕМА ГОРЯ - EP'],СИСТЕМА ГОРЯ - EP
Нема крові,СТРУКТУРА ЩАСТЯ,['ВОВК'],['ВОВК'],ВОВК
ТРИГЕР,СТРУКТУРА ЩАСТЯ,['ВОВК'],['ВОВК'],ВОВК
Чи знаєш ти?,СТРУКТУРА ЩАСТЯ,['ВОВК'],['ВОВК'],ВОВК
Мʼясо-фестиваль,СТРУКТУРА ЩАСТЯ,['ВОВК'],['ВОВК'],ВОВК
Глузд,СТРУКТУРА ЩАСТЯ,['ВОВК'],['ВОВК'],ВОВК
СНГ,СТРУКТУРА ЩАСТЯ,[],[],Other
Тривожний - Extended Version,СТРУКТУРА ЩАСТЯ,[],[],Other
Амбівалентний,СТРУКТУРА ЩАСТЯ,"['Що спільного між вороном і кроликом?', 'Що спільного між вороном і кроликом? - EP']",[],Other
Тривожний,СТРУКТУРА ЩАСТЯ,"['Тривожний', 'Тривожний (Extended Version)']",[],Other
Уникаючий,СТРУКТУРА ЩАСТЯ,"['Що спільного між вороном і кроликом?', 'Що спільного між вороном і кроликом? - EP']",[],Other
ДРУГ - XenjeS Remix,СТРУКТУРА ЩАСТЯ,[],[],Other
Надійний,СТРУКТУРА ЩАСТЯ,"['Що спільного між вороном і кроликом?', 'Що спільного між вороном і кроликом? - EP']",[],Other
MDMA,СТРУКТУРА ЩАСТЯ,[],[],Other
Похититель лун,СТРУКТУРА ЩАСТЯ,[],[],Other
НСТФ,СТРУКТУРА ЩАСТЯ,[],[],Other
Мальчик с веснушками,СТРУКТУРА ЩАСТЯ,[],[],Other
Птица говорун,СТРУКТУРА ЩАСТЯ,[],[],Other
REVOlution,СТРУКТУРА ЩАСТЯ,[],[],Other
Ліпший день,СТРУКТУРА ЩАСТЯ,[],[],Other
Трохи про нас,СТРУКТУРА ЩАСТЯ,[],[],Other
Пароль до ї' губ,СТРУКТУРА ЩАСТЯ,[],[],Other
Забудь мене,СТРУКТУРА ЩАСТЯ,[],[],Other
Ближче,СТРУКТУРА ЩАСТЯ,[],[],Other
Ліра,Кому Вниз,"['Реформація: 25 пунктів', 'Ab Ovo Usque Ad Mala']","['Ab Ovo Usque Ad Mala', 'Реформація: 25 пунктів']",Ab Ovo Usque Ad Mala
Микита швачка,Кому Вниз,"['In Kastus', 'Кому Вниз']","['In Kastus', 'Кому Вниз']",In Kastus
Птаха на ймення Nachtigall,Кому Вниз,[],[],Other
Суботів,Кому Вниз,"['In Kastus', 'Кому Вниз']","['In Kastus', 'Кому Вниз']",In Kastus
Мамай,Кому Вниз,"['Рок Легенди України', 'Українська колекція']",[],Other
Привид з гаю,Кому Вниз,"['In Kastus', 'In Kastus in Vivo']","['In Kastus', 'In Kastus in Vivo']",In Kastus
Шива,Кому Вниз,"['Реформація: 25 пунктів', 'IDEM (2345)']","['IDEM (2345)', 'Реформація: 25 пунктів']",Реформація: 25 пунктів
"Ген, долиною",Кому Вниз,"['In Kastus', 'Кому Вниз']","['In Kastus', 'Кому Вниз']",In Kastus
Подих,Кому Вниз,"['In Kastus', 'Рок Легенди України']",['In Kastus'],In Kastus
Попіл,Кому Вниз,"['In Kastus', 'Рок Легенди України']",['In Kastus'],In Kastus
Розрита могила,Кому Вниз,"['In Kastus', 'Кому Вниз']","['In Kastus', 'Кому Вниз']",In Kastus
Кленовий вогонь,Кому Вниз,"['In Kastus in Vivo', 'Ab Ovo Usque Ad Mala']","['Ab Ovo Usque Ad Mala', 'In Kastus in Vivo']",Ab Ovo Usque Ad Mala
Неба зорі,Кому Вниз,"['Реформація: 25 пунктів', 'Ретроспектива']",['Реформація: 25 пунктів'],Реформація: 25 пунктів
Від києва до ольстера,Кому Вниз,"['Реформація: 25 пунктів', 'Рок Легенди України']",['Реформація: 25 пунктів'],Реформація: 25 пунктів
Ворони,Кому Вниз,"['Кому Вниз', 'Ретроспектива']",['Кому Вниз'],Other
Нава,Кому Вниз,"['In Kastus in Vivo', 'Рок Легенди України']",['In Kastus in Vivo'],Other
Нива,Кому Вниз,"['Реформація: 25 пунктів', 'Українська колекція']",['Реформація: 25 пунктів'],Реформація: 25 пунктів
Білі демони,Кому Вниз,"['Реформація: 25 пунктів', 'КОМУ ВНИЗ у Львівській Опері. 2006.12.01']","['КОМУ ВНИЗ у Львівській Опері. 2006.12.01', 'Реформація: 25 пунктів']",Реформація: 25 пунктів
Не нарiкаю я на бога,Кому Вниз,"['In Kastus', 'Ретроспектива']",['In Kastus'],In Kastus
Мати,Кому Вниз,[],[],Other
Виє мама,Кому Вниз,"['In Kastus in Vivo', 'Рок Легенди України']",['In Kastus in Vivo'],Other
Пісня химерного краю,Кому Вниз,"['Рок Легенди України', 'Українська колекція']",[],Other
Крові!,Кому Вниз,['Кому Вниз'],['Кому Вниз'],Other
Ельдорадо,Кому Вниз,"['Кому Вниз', 'Ретроспектива']",['Кому Вниз'],Other
Хлопці з Бандерштадту,Кому Вниз,[],[],Other
Навський великдень,Кому Вниз,"['In Kastus', 'Ретроспектива']",['In Kastus'],In Kastus
З «Холодного яру»,Кому Вниз,"['4', '4 - EP']",['4'],Other
Світ білих веж,Кому Вниз,[],[],Other
Срібні твої води,Кому Вниз,"['In Kastus', 'Рок Легенди України']",['In Kastus'],In Kastus
І зійде з долонь господніх,Кому Вниз,"['In Kastus', 'Реформація: 25 пунктів']","['In Kastus', 'Реформація: 25 пунктів']",In Kastus
Мажа-віра,Кому Вниз,"['Реформація: 25 пунктів', 'КОМУ ВНИЗ у Львівській Опері. 2006.12.01']","['КОМУ ВНИЗ у Львівській Опері. 2006.12.01', 'Реформація: 25 пунктів']",Реформація: 25 пунктів
З «Хустини»,Кому Вниз,"['4', '4 - EP']",['4'],Other
Пісня землеробів,Кому Вниз,[],[],Other
Майстер З Міста Hameln,Кому Вниз,"['In Kastus', 'Українська колекція']",['In Kastus'],In Kastus
Марш норманів,Кому Вниз,[],[],Other
Щодня вона йде назустріч,Кому Вниз,['In Kastus'],['In Kastus'],In Kastus
До Основ’яненка,Кому Вниз,[],[],Other
Заповіт арійській людині,Кому Вниз,['Реформація: 25 пунктів'],['Реформація: 25 пунктів'],Реформація: 25 пунктів
Вши,Кому Вниз,['Падая Вверх'],[],Other
Тихо в горах,Кому Вниз,['Падая Вверх'],[],Other
Косар обрієм,Кому Вниз,"['In Kastus', 'КОМУ ВНИЗ у Львівській Опері. 2006.12.01']","['In Kastus', 'КОМУ ВНИЗ у Львівській Опері. 2006.12.01']",In Kastus
Болеро,Кому Вниз,['Падая Вверх'],[],Other
"Для тех, кому вниз",Кому Вниз,['Падая Вверх'],[],Other
Падая вверх,Кому Вниз,['Падая Вверх'],[],Other
Хибрай,Кому Вниз,['Падая Вверх'],[],Other
Песня о мире,Кому Вниз,['Падая Вверх'],[],Other
Печальна жінка,Кому Вниз,[],[],Other
"Вийди, змучена людьми",Кому Вниз,['Рок Легенди України'],[],Other
Серед тіней,Кому Вниз,[],[],Other
Улица чужих лиц,Кому Вниз,['Падая Вверх'],[],Other
White Demons,Кому Вниз,['Ab Ovo Usque Ad Mala'],['Ab Ovo Usque Ad Mala'],Ab Ovo Usque Ad Mala
Святий вечір,Кому Вниз,[],[],Other
З Ісусом,Кому Вниз,[],[],Other
Mazha Veera,Кому Вниз,['Ab Ovo Usque Ad Mala'],['Ab Ovo Usque Ad Mala'],Ab Ovo Usque Ad Mala
Ми - хлопці з Бандерштадту,Кому Вниз,[],[],Other
Shiva's dance,Кому Вниз,['Ab Ovo Usque Ad Mala'],['Ab Ovo Usque Ad Mala'],Ab Ovo Usque Ad Mala
Човен Ноя,Кому Вниз,[],[],Other
В країні ілюзій,Димна Суміш,['В країні ілюзій'],['В країні ілюзій'],В країні ілюзій
Кожної весни,Димна Суміш,['Димна суміш'],['Димна суміш'],Димна суміш
Океан,Димна Суміш,"['В країні ілюзій', 'В Країні Ілюзій']",['В країні ілюзій'],В країні ілюзій
Ні,Димна Суміш,"['В країні ілюзій', 'В Країні Ілюзій']",['В країні ілюзій'],В країні ілюзій
Танцюй танцюй,Димна Суміш,['Димна суміш'],['Димна суміш'],Димна суміш
Кращий друг самурая,Димна Суміш,"['Димна суміш', 'Димна Суміш']",['Димна суміш'],Димна суміш
Листи,Димна Суміш,"['В країні ілюзій', 'В Країні Ілюзій']",['В країні ілюзій'],В країні ілюзій
Школа,Димна Суміш,"['В країні ілюзій', 'В Країні Ілюзій']",['В країні ілюзій'],В країні ілюзій
Сльози,Димна Суміш,"['В країні ілюзій', 'В Країні Ілюзій']",['В країні ілюзій'],В країні ілюзій
Шукай,Димна Суміш,"['Димна суміш', 'Димна Суміш']",['Димна суміш'],Димна суміш
Карма,Димна Суміш,"['Димна суміш', 'Димна Суміш']",['Димна суміш'],Димна суміш
Стіна,Димна Суміш,"['Ти живий', 'Стіна']",[],Other
Молоток,Димна Суміш,"['Ти живий', 'Молоток']",[],Other
Психоделічні краї,Димна Суміш,"['В країні ілюзій', 'В Країні Ілюзій']",['В країні ілюзій'],В країні ілюзій
Герой,Димна Суміш,"['Ти живий', 'Герой']",[],Other
Разом,Димна Суміш,['Ти живий'],[],Other
Геть,Димна Суміш,"['Димна суміш', 'Димна Суміш']",['Димна суміш'],Димна суміш
Друг повернись,Димна Суміш,['Димна суміш'],['Димна суміш'],Димна суміш
Я один,Димна Суміш,"['Димна суміш', 'Димна Суміш']",['Димна суміш'],Димна суміш
Земля-небо,Димна Суміш,['В країні ілюзій'],['В країні ілюзій'],В країні ілюзій
Бийся за життя,Димна Суміш,['Димна суміш'],['Димна суміш'],Димна суміш
Згадуй бійся плач і зви,Димна Суміш,['Димна суміш'],['Димна суміш'],Димна суміш
Хіппі,Димна Суміш,"['В країні ілюзій', 'В Країні Ілюзій']",['В країні ілюзій'],В країні ілюзій
Вкрай стомлений,Димна Суміш,"['В країні ілюзій', 'В Країні Ілюзій']",['В країні ілюзій'],В країні ілюзій
Інший світ,Димна Суміш,"['В країні ілюзій', 'В Країні Ілюзій']",['В країні ілюзій'],В країні ілюзій
Все в його руках,Димна Суміш,"['Димна суміш', 'Димна Суміш']",['Димна суміш'],Димна суміш
